,sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,BK0001-C,RCA_1,Alessandra della Torre,Central African Republic,Bangui,1993,12,4.367,18.583,F,AG1000G-CF,v3,0.028999999999999998,0.002,gamb_colu,gambiae,gambiae,-54.970066,-38.830475,23.308449,-18.816437,7.530489,-58.896255,52.62212,-12.930592,8.555437,-53.326286
1,BK0002-C,RCA_2,Alessandra della Torre,Central African Republic,Bangui,1993,12,4.367,18.583,F,AG1000G-CF,v3,0.956,0.002,gamb_colu,coluzzii,coluzzii,152.58861,1.7024351,8.431385,1.0990179,-4.115316,-5.778713,-9.66046,-20.668242,-16.591581,0.081823125
2,BK0003-C,RCA_3,Alessandra della Torre,Central African Republic,Bangui,1993,12,4.367,18.583,F,AG1000G-CF,v3,0.9640000000000001,0.002,gamb_colu,coluzzii,coluzzii,150.3674,-5.295752,-1.882049,-6.34555,-4.907459,-1.8161907,-23.604525,-9.235504,33.000675,-13.818972
3,BK0005-C,RCA_5,Alessandra della Torre,Central African Republic,Bangui,1993,12,4.367,18.583,F,AG1000G-CF,v3,0.023,0.002,gamb_colu,gambiae,gambiae,-54.385197,-8.643405,55.499775,1.5389934,32.55922,-47.14855,-0.8660795,206.05,73.46387,115.96941
4,BK0006-C,RCA_6,Alessandra della Torre,Central African Republic,Bangui,1993,12,4.367,18.583,F,AG1000G-CF,v3,0.9640000000000001,0.002,gamb_colu,coluzzii,coluzzii,161.37367,3.371182,-13.417687,-10.667204,17.06571,-11.286979,-15.303542,10.591769,5.893254,20.036026
5,BK0007-C,RCA_7,Alessandra della Torre,Central African Republic,Bangui,1993,12,4.367,18.583,F,AG1000G-CF,v3,0.9570000000000001,0.002,gamb_colu,coluzzii,coluzzii,143.97745,8.245661,-3.589138,13.779611,0.69305867,-0.6029297,5.4183984,0.9227902,11.715692,-5.1271534
6,BK0008-C,RCA_8,Alessandra della Torre,Central African Republic,Bangui,1993,12,4.367,18.583,F,AG1000G-CF,v3,0.956,0.002,gamb_colu,coluzzii,coluzzii,160.52115,7.1596828,7.862587,0.6117533,1.9235159,13.752717,3.195001,27.610338,-25.404833,45.434624
7,BK0009-C,RCA_10,Alessandra della Torre,Central African Republic,Bangui,1994,1,4.367,18.583,F,AG1000G-CF,v3,0.024,0.003,gamb_colu,gambiae,gambiae,-56.851963,-24.867659,-78.04535,-1.475334,-55.32667,35.299126,-10.239521,68.19296,-81.623344,1.3120348
8,BK0010-C,RCA_11,Alessandra della Torre,Central African Republic,Bangui,1994,1,4.367,18.583,F,AG1000G-CF,v3,0.023,0.002,gamb_colu,gambiae,gambiae,-48.309135,-58.635784,51.65226,-54.18487,35.79909,194.46805,-136.92166,-38.65028,158.08473,-64.19488
9,BK0011-C,RCA_12,Alessandra della Torre,Central African Republic,Bangui,1994,1,4.367,18.583,F,AG1000G-CF,v3,0.032,0.002,gamb_colu,gambiae,gambiae,-44.41938,-34.839127,20.874763,1.5147932,51.860607,22.360638,136.70316,163.2038,105.1488,89.22991
10,BK0013-C,RCA_14,Alessandra della Torre,Central African Republic,Bangui,1994,1,4.367,18.583,F,AG1000G-CF,v3,0.024,0.002,gamb_colu,gambiae,gambiae,-51.778263,-25.592976,-3.3547761,64.064606,69.863464,20.36138,108.89997,18.22398,133.75807,-0.54866326
11,BK0014-C,RCA_15,Alessandra della Torre,Central African Republic,Bangui,1994,1,4.367,18.583,F,AG1000G-CF,v3,0.956,0.002,gamb_colu,coluzzii,coluzzii,155.85832,-5.1937103,-2.6781156,8.606569,1.3899714,-7.3783355,-1.170142,2.473322,8.424028,17.521849
