sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AG0147-C,2614,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.152,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-43.463837,1.5274539,74.273384,-29.296125,18.125523,-5.4773755,43.604885,-5.9389195,3.3605685,-42.850628
AG0159-C,2626,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.076,0.005,gamb_colu,gambiae,gambiae,-45.019688,4.51287,74.13678,-29.544426,16.991087,-3.4769173,35.27814,-10.937233,4.7141266,-17.478165
AG0232-C,2761,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.107,0.005,gamb_colu,gambiae,gambiae,-43.81026,3.7324479,63.46425,-28.10787,16.105461,-5.831624,14.65727,-9.562988,-4.049419,18.981598
AG0129-C,2596,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.005,gamb_colu,gambiae,gambiae,-45.652046,4.4050636,75.7556,-32.205757,24.777962,-10.991764,45.850224,-10.766204,-6.833596,27.455057
AG0153-C,2620,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.09699999999999999,0.005,gamb_colu,gambiae,gambiae,-42.28656,4.616043,57.900963,-24.624834,20.635649,-5.060736,57.263905,-10.930817,-3.9409192,-5.5227313
AG0163-C,2630,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.087,0.005,gamb_colu,gambiae,gambiae,-42.935097,1.8669538,66.82161,-27.611986,19.48003,-8.829742,54.965786,-13.12211,1.1712594,-18.075632
AG0200-C,2698,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.948,0.005,gamb_colu,coluzzii,coluzzii,-44.644817,15.598398,-44.747982,21.912323,-5.698712,2.4617422,24.664087,-1.278653,0.76038635,-18.612453
AG0209-C,2707,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.9279999999999999,0.005,gamb_colu,coluzzii,coluzzii,-45.146786,17.347376,-44.279774,23.028902,-0.044134926,0.84217304,22.82898,-1.7753946,4.4294586,-28.378584
AG0229-C,2758,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.079,0.005,gamb_colu,gambiae,gambiae,-41.158466,-1.4682943,72.20651,-29.236423,15.684402,-6.527764,26.460613,-9.665902,-3.9070008,22.320492
AG0230-C,2759,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.11,0.004,gamb_colu,gambiae,gambiae,-43.36695,4.502342,64.14368,-27.669107,17.835407,-8.988992,29.758118,-12.212071,-3.857329,12.535209
AG0098-C,2534,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08,0.005,gamb_colu,gambiae,gambiae,-44.220737,2.6769326,81.84928,-35.044167,27.340294,-6.00999,57.711956,-12.045003,-0.59295964,-16.604033
AG0104-C,2540,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.005,gamb_colu,gambiae,gambiae,-46.75054,6.0797644,71.59418,-29.794504,27.72831,-9.80091,28.54459,-11.278991,0.25380123,21.183245
AG0106-C,2542,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.073,0.006,gamb_colu,gambiae,gambiae,-50.30507,6.670052,77.16754,-31.110355,25.506144,-9.79968,29.631178,-3.9896386,-1.9055878,16.29522
