sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK0049-C,KIL38,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.32,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-158.52785,228.18791,-6.304633,-189.38657,-53.44281,30.461374,-26.778389,2.0142183,-0.87114584,10.447555
AK0050-C,KIL39,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.133,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-130.11737,140.5358,260.48422,16.12636,-71.53923,35.679146,-31.607647,3.2765372,-3.2301362,12.075236
AK0051-C,KIL40,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.157,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-71.433136,-323.86682,92.42843,-55.89456,10.33442,-6.634495,10.043739,6.021729,3.262909,2.5972028
AK0052-C,KIL41,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.222,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-103.32423,185.23906,147.53766,-123.291374,-129.99934,73.8727,-64.55444,9.36016,-4.953849,19.995747
AK0062-C,KIL47,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.068,0.003,gamb_colu,gambiae,gambiae,-107.25833,-148.65536,-12.593639,-16.667624,-13.590898,9.701328,-0.22805528,12.145841,2.7796924,7.9468412
AK0063-C,KIL1,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.099,0.003,gamb_colu,gambiae,gambiae,-113.08535,-244.77785,2.440147,-95.623825,36.76581,-21.722553,16.725817,0.08737034,0.3717094,-5.7312336
AK0065-C,KIL3,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.276,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-115.24024,77.517944,175.44356,153.6935,64.075615,-39.811092,30.474947,-14.579971,0.02166903,-14.021547
AK0067-C,KIL5,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-89.90367,62.295628,294.40286,64.48889,16.048094,-10.336227,14.183949,0.0004968341,1.8747967,2.2770154
AK0068-C,KIL6,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.33,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-165.29471,145.26558,145.40363,-68.20436,19.018112,-13.08555,10.870597,-4.0959735,0.51531535,-6.566955
AK0069-C,KIL7,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.309,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-120.40759,106.64824,387.0946,68.30161,3.8021686,-4.023335,8.85379,0.166753,-0.22301385,2.0608203
AK0070-C,KIL8,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.153,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-101.98608,-51.38323,31.016726,-146.6593,-40.77953,24.762815,-15.07903,-0.6525429,-1.8162974,6.0012236
AK0071-C,KIL9,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22399999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-171.18575,57.534775,-40.278236,-176.19748,53.475105,-32.03396,23.087896,-4.6695867,2.236831,-11.290039
AK0072-C,KIL10,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.34600000000000003,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-103.95954,-5.763625,138.75066,-30.195827,-40.41783,23.591692,-17.440336,-0.78057754,-4.0348153,-1.0822061
AK0073-C,KIL11,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.18600000000000003,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-152.47202,8.832078,-30.019768,-170.12303,22.228445,-12.677189,13.638145,-0.01653191,4.752059,0.6894539
AK0076-C,KIL14,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.235,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-164.42206,184.40753,120.341286,-107.85705,10.62082,-6.6143064,10.306973,-0.8934264,3.2704604,2.3815358
AK0077-C,KIL15,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.237,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-89.088524,108.025925,-129.96852,243.78363,-43.35803,31.288467,-18.700336,10.945723,1.4433758,15.8441925
AK0078-C,KIL16,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.19899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-136.72037,36.99326,59.763966,82.75743,135.91379,-80.09706,64.43679,-12.241081,6.409161,-15.494527
AK0079-C,KIL17,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.168,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-164.48035,184.73924,120.544846,-107.99016,10.841949,-6.3455534,10.484149,-0.74004656,3.381174,2.2410371
AK0081-C,KIL19,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.203,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-142.8263,7.3634186,-52.13426,-153.95139,15.86094,-9.49225,8.702191,-0.18892482,4.392011,3.5404
AK0082-C,KIL20,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-127.020546,121.28778,-65.75944,265.14124,60.811455,-36.103863,28.461523,-8.704891,2.2116423,-4.274085
AK0083-C,KIL21,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.201,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-140.27213,38.77161,177.16798,11.932988,26.001936,-17.58982,12.180765,-3.7819474,1.2664826,-4.114714
AK0085-C,KIL23,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.215,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-119.62354,-148.23402,161.6774,36.47542,-52.292522,24.600204,-22.455795,-1.9040656,-5.6671133,-1.5649319
AK0086-C,KIL24,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.138,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-124.3189,-81.67593,-55.396774,46.522648,2.8928351,-3.6183522,-4.477181,-4.1928706,-1.7680008,-1.8268651
AK0087-C,KIL25,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.146,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-111.12051,-81.406555,-27.397556,201.06207,170.47218,-90.58612,80.64694,-2.2744603,8.048951,-9.895429
AK0088-C,KIL26,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.105,0.003,gamb_colu,gambiae,gambiae,-98.19537,-128.49492,-46.955936,28.556803,7.557629,-1.4635882,0.6503705,3.5254958,-1.6396275,-0.54398423
AK0089-C,KIL27,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-170.7946,93.79591,-128.30595,-203.61214,30.196564,-18.541847,13.039335,-1.855159,1.4204681,-1.7470216
AK0091-C,KIL29,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.163,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-112.70085,-156.63364,-55.50864,-48.683033,36.504505,-17.181986,17.262379,3.8292465,1.3191853,-3.0564685
AK0093-C,KIL31,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.253,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-159.86946,120.46156,-138.60175,-132.3449,0.5651994,-1.8220179,-3.987497,-3.9135134,-1.5060551,-0.9312679
AK0094-C,KIL32,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.182,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-141.99425,78.60178,-115.839325,213.47838,71.792114,-38.199665,27.864365,-7.4224677,-0.42303258,-13.935007
AK0095-C,KIL33,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.233,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-103.14541,4.2548165,-20.758959,-56.875435,55.54825,-25.443573,25.25173,6.756866,1.8627915,-1.1259096
AK0096-C,KIL56,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.299,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-151.5021,-16.242762,-97.18572,-40.262867,39.694626,-23.381489,15.572695,-1.1942723,1.015461,-4.8095436
AK0098-C,KIL58,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.335,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-159.00618,67.46626,-132.43095,-44.412987,38.96399,-22.286772,15.701333,-2.665846,1.2263716,-7.154601
AK0099-C,KIL59,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.115,0.004,gamb_colu,gambiae,gambiae,-127.558075,94.84301,-160.9804,45.124157,-106.68269,59.280663,-53.420376,1.977369,-5.675652,9.479816
