sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AJ0023-C,BIS001,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.08,0.006,gamb_colu,gambiae,gambiae,-6.4325967,0.69957,-59.00082,-30.52783,58.285004,-60.48748,31.518658,57.60389,-33.348217,-26.900051
AJ0024-C,BIS002,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.431,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-16.435902,19.438768,16.109676,44.41262,114.96473,32.31203,-50.941475,-42.76698,-38.044014,34.46873
AJ0032-C,BIS010,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.369,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-28.100435,17.08599,46.65976,94.242035,-22.528759,-13.853632,-15.277582,10.628381,57.8605,-44.968697
AJ0035-C,BIS013,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.11800000000000001,0.006999999999999999,gamb_colu,gambiae,gambiae,-6.4084306,-20.90788,2.816876,-21.198534,-7.809078,5.630595,51.060143,-3.687576,-65.064354,57.304935
AJ0036-C,BIS014,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.125,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-0.95285094,16.348886,44.983128,-109.00586,5.507865,3.2656324,88.80232,55.076927,43.0942,-17.30353
AJ0037-C,BIS015,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.6729999999999999,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-14.639552,16.513567,33.2539,11.40305,-4.610648,-31.905233,-11.863941,-44.461094,43.159805,121.686806
AJ0039-C,BIS017,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.095,0.005,gamb_colu,gambiae,gambiae,22.468908,-0.20691174,19.922213,26.636797,-9.162501,128.50023,101.45844,34.191658,-23.655933,50.320755
AJ0043-C,BIS021,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.188,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-14.752099,9.440382,91.563934,-64.35501,70.55474,-26.667526,36.603012,21.227757,20.285614,-6.1190376
AJ0044-C,BIS022,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.132,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-17.073315,14.461595,-36.877804,0.5599616,-21.584915,19.728458,15.190073,16.831394,5.73074,21.709282
AJ0045-C,BIS023,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.127,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-15.968961,-359.67905,4.681255,6.8915114,30.35406,-15.352118,16.589006,-16.894358,3.8191423,-18.566172
AJ0047-C,BIS025,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.281,0.008,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-14.270884,29.918377,-120.45407,5.842697,-7.165197,6.5555487,-58.52987,-111.04333,-106.15592,-29.55884
AJ0051-C,BIS029,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.179,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-18.989672,26.913876,4.5433116,-66.66685,-5.608918,25.554167,120.7379,-36.028717,21.455688,-35.3526
AJ0052-C,BIS030,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.35600000000000004,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-39.541397,4.2149377,-7.363258,-6.9731207,-27.240644,-149.99687,-0.48095942,-8.2590065,-23.540392,21.828285
AJ0056-C,BIS034,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.09300000000000001,0.005,gamb_colu,gambiae,gambiae,-15.813768,16.327755,46.675415,-7.0906596,96.547226,16.08529,16.814217,40.25026,60.553856,-26.991005
AJ0059-C,BIS037,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.105,0.005,gamb_colu,gambiae,gambiae,-10.942406,-12.209217,45.231537,74.833496,-5.653122,55.9501,-67.3027,-97.71995,39.64744,7.9505982
AJ0061-C,BIS039,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.105,0.005,gamb_colu,gambiae,gambiae,-19.313976,1.731674,19.190273,-23.187717,-94.54631,16.12861,-11.809427,25.10866,-53.090485,-48.838345
AJ0063-C,BIS041,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.133,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-15.54556,-361.33792,-6.9049044,4.21521,-2.2185075,-5.7851834,9.947585,-14.684843,8.956144,11.527001
AJ0064-C,BIS042,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.414,0.008,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-36.72454,20.95244,-11.780152,11.557027,18.855925,0.6618539,-25.619406,-78.763794,24.25087,102.988075
AJ0066-C,BIS044,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.322,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-2.8245187,-21.038134,62.115295,-26.26622,-24.82824,-11.476866,9.556029,-1.9358498,-19.870605,42.52487
AJ0071-C,BIS049,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.11599999999999999,0.006,gamb_colu,gambiae,gambiae,-36.620346,3.8125393,-36.622677,-14.909172,-43.784733,16.271984,-30.950895,-25.0733,42.833393,15.65964
AJ0072-C,BIS050,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.106,0.006,gamb_colu,gambiae,gambiae,-10.216402,0.6117053,-12.974702,-19.382187,-20.535976,112.24622,81.391754,-39.93862,-9.3581915,106.59342
AJ0074-C,BIS052,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.429,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-15.360219,22.012152,30.827429,-9.414912,16.227062,29.318913,-5.341967,19.565386,18.204746,22.822954
AJ0075-C,BIS053,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.397,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-6.728474,15.090036,-28.304197,51.974228,-17.393858,-17.63927,33.35479,66.50441,14.089205,22.391056
AJ0076-C,BIS054,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.177,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-19.853558,20.602535,9.734574,-82.41552,11.312788,-6.9755454,50.641514,10.330385,10.380128,45.648216
AJ0077-C,BIS055,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.5529999999999999,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-29.857227,24.517159,-103.261,21.855886,-17.451616,-35.983273,-26.171242,71.018394,85.99508,2.0008109
AJ0078-C,BIS056,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.43700000000000006,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-47.838264,14.431078,-0.96664596,14.123624,-3.4416387,-168.40588,36.08222,4.542587,-46.280697,-14.962733
AJ0079-C,BIS057,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.816,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-35.024147,23.58483,-42.992157,85.79707,1.0700815,-51.847366,9.624162,-19.364882,15.089625,79.32928
AJ0081-C,BIS059,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.146,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-13.21706,-5.506908,14.084236,33.300472,23.45527,-33.92183,-36.772427,-38.999996,-17.732168,71.18762
AJ0084-C,BIS062,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.185,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,7.626272,5.8859973,83.90471,-32.10523,-81.23043,10.874842,-57.55162,12.984246,58.461597,-136.51297
AJ0085-C,BIS063,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.114,0.005,gamb_colu,gambiae,gambiae,-4.9205575,1.1116372,68.27908,4.3851624,-18.20987,73.045494,1.7223665,-15.125423,38.331436,19.701872
AJ0086-C,BIS064,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.217,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-16.889978,10.988222,99.53779,250.64061,-48.988125,13.873669,145.91795,27.454033,-103.741325,-21.644474
AJ0088-C,BIS066,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.152,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-28.107914,22.658548,-32.54336,-15.955006,-20.92496,38.364048,-72.16485,-101.62045,-73.84528,-131.57257
AJ0090-C,BIS068,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.623,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-23.49486,19.981712,46.733902,-11.512943,22.790054,85.66028,21.158298,-91.503426,41.879818,59.31718
AJ0092-C,BIS070,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.127,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-25.372421,-42.282673,-59.59252,-27.979181,-5.294799,21.65176,32.25635,-47.13937,-3.9854965,-41.541653
AJ0093-C,BIS071,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.42100000000000004,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-12.474444,8.241746,95.9102,-45.5522,59.48769,-33.442036,-45.016743,-54.66647,47.4403,-18.866842
AJ0095-C,BIS073,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.22899999999999998,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-13.277362,8.759243,-49.56193,19.39081,-87.70446,-15.040094,10.750696,129.58095,111.34368,69.95078
AJ0096-C,BIS074,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.131,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-13.254225,15.031516,-7.104227,21.360167,39.570995,15.938839,-11.292662,1.1717323,-32.72224,-19.517199
AJ0097-C,BIS075,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.113,0.006,gamb_colu,gambiae,gambiae,-30.877222,11.743782,16.931437,13.623941,-33.24202,43.429348,-54.085663,-69.4726,57.940876,48.924423
