sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
BL0046-C,Plate_C_H6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.125,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-289.4581,-397.623,-6.749659,-20.689957,9.6713295,-58.8629,-3.6272318,1.0032762,-12.021967,5.861022
BL0047-C,Plate_F_D4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.745,arabiensis,,arabiensis,80.30742,-2.351169,-0.08353862,-0.874737,0.27703875,0.33412802,-3.0929327,0.5653569,-0.2792226,-0.3335205
BL0048-C,Plate_F_E4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.742,arabiensis,,arabiensis,81.29718,-3.520788,-2.2278142,0.17799751,0.61550814,0.14120235,-0.92002213,-0.7243481,0.86641973,-0.38938233
BL0049-C,Plate_F_F4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7440000000000001,arabiensis,,arabiensis,81.06272,-2.610553,-2.1513345,0.6770066,0.11041019,0.718044,0.040186133,-0.5889993,0.17130403,0.504574
BL0050-C,Plate_F_G4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.451,0.735,arabiensis,,arabiensis,76.88112,-2.1195667,0.5651168,-1.5847933,0.6186203,0.5232955,-1.7505702,-0.39272705,-0.98176044,0.96608377
BL0052-C,Plate_D_1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,M,AG1000G-TZ,v3,0.040999999999999995,0.015,gamb_colu,gambiae,gambiae,-221.73303,75.58713,125.82154,119.2827,-3.0064886,-69.11845,77.21591,-29.173368,-198.38136,-87.982056
BL0054-C,Plate_D_B2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.033,0.004,gamb_colu,gambiae,gambiae,-224.68198,73.42988,119.23042,54.69662,24.002186,-28.098314,7.4752755,279.17798,54.19227,-172.5952
BL0055-C,Plate_D_E6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.728,arabiensis,,arabiensis,80.31516,-3.6318212,-2.008601,0.90953803,0.3450086,-0.96057326,-0.2093359,0.04444752,-0.33975422,-0.7228294
BL0058-C,Plate_D_H7,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.045,0.017,gamb_colu,gambiae,gambiae,-212.01286,72.00689,146.02344,21.741684,12.69504,12.597125,-60.902737,-108.93645,-16.153395,-67.041046
BL0059-C,Plate_D_A8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.745,arabiensis,,arabiensis,82.9883,-3.1107068,-2.1336293,-0.71286565,0.47405544,0.6393274,-1.0855526,0.29025573,0.4388385,-0.05428934
BL0060-C,Plate_D_B8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.447,0.7240000000000001,arabiensis,,arabiensis,77.78182,-2.5657477,-0.105022624,0.061335675,0.6776642,0.8890556,-1.1101949,0.18248527,-0.7681081,-0.8420295
BL0061-C,Plate_D_D8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.7440000000000001,arabiensis,,arabiensis,82.95939,-3.0150876,-2.528538,0.57549626,0.16712876,0.4145854,-0.3519757,-0.082424216,0.32259172,0.2839652
BL0062-C,Plate_D_F8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.742,arabiensis,,arabiensis,80.77116,-2.4666395,-1.7155528,0.40627068,0.8850783,-0.6409044,1.2744405,-0.49012715,-1.1545285,-0.33051154
BL0063-C,Plate_D_G8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.033,0.008,gamb_colu,gambiae,gambiae,-215.2509,69.922844,183.33214,35.273396,-16.445108,20.307655,-133.7431,15.165941,48.536884,110.93161
