sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AJ0023-C,BIS001,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.08,0.006,gamb_colu,gambiae,gambiae,5.3889723,34.160263,-78.68482,3.6577392,-5.0050817,41.46847,-22.934912,8.422792,9.902013,-0.81419027
AJ0024-C,BIS002,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.431,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,22.197483,-42.29041,-53.69337,-70.59517,-64.31531,-34.61835,70.498665,105.67182,-59.870716,-62.24718
AJ0032-C,BIS010,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.369,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,26.905088,-40.929535,52.13056,-69.03393,10.441795,-5.661816,33.783535,-19.92219,9.811485,15.273463
AJ0035-C,BIS013,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.11800000000000001,0.006999999999999999,gamb_colu,gambiae,gambiae,16.939217,-23.830824,-1.1910001,12.627675,-39.55602,31.016394,-31.648249,-16.838644,68.58161,-52.534607
AJ0036-C,BIS014,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.125,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,1.1854829,-37.371273,-64.06467,71.5781,-15.680665,2.0488725,-35.193684,-73.61594,-78.6502,-4.342838
AJ0037-C,BIS015,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.6729999999999999,0.006999999999999999,gamb_colu,intermediate,intermediate_gambiae_coluzzii,14.154158,-1.0645944,17.235798,6.886931,4.3281264,-13.750946,22.910963,-7.6500607,-5.45588,-48.184956
AJ0039-C,BIS017,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.095,0.005,gamb_colu,gambiae,gambiae,-19.317701,-23.350235,28.678354,-68.77038,-211.04346,83.6075,-90.646774,-95.33881,42.89166,8.783135
AJ0043-C,BIS021,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.188,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,11.609368,-94.03086,-63.951054,-8.098238,52.79153,47.144016,9.254763,-22.882113,29.94474,5.737591
AJ0044-C,BIS022,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.132,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,12.468064,28.407764,17.24459,-6.182951,-13.704864,20.201403,1.0658429,-20.675518,-25.805855,-22.544611
AJ0047-C,BIS025,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.281,0.008,gamb_colu,intermediate,intermediate_gambiae_coluzzii,17.03067,102.359505,4.610593,-38.339336,36.89437,-54.572483,-60.91383,103.70081,37.639606,-34.4137
AJ0051-C,BIS029,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.179,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,17.218306,-13.519283,-78.202736,-8.368779,-17.049013,-104.99886,-58.294014,-33.33695,-243.47464,-71.4264
AJ0052-C,BIS030,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.35600000000000004,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,44.79861,30.942322,13.914892,57.99226,131.60309,73.93002,-10.3725815,2.732983,-61.769737,-35.832172
AJ0056-C,BIS034,Joao Pinto,Guinea-Bissau,Antula,2010,-1,11.890999999999998,-15.582,F,AG1000G-GW,v3,0.09300000000000001,0.005,gamb_colu,gambiae,gambiae,12.662935,-34.020523,-56.341858,-50.325188,7.105524,19.310041,32.743855,21.728037,21.540985,-1.8042845
