sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK0041-C,KIL52,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.451,0.742,arabiensis,,arabiensis,-425.04025,192.20164,3.3911867,-0.7731851,-0.31988925,-1.0135615,1.7956408,-2.0943627,3.692505,-0.4006332
AK0042-C,KIL53,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.742,arabiensis,,arabiensis,-440.95706,206.86209,4.7541738,-0.76603043,0.9592272,4.877541,-6.554709,11.918624,-22.700607,-3.8175976
AK0043-C,KIL54,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.7440000000000001,arabiensis,,arabiensis,-437.2112,203.84087,3.701971,-0.71210986,0.5194246,2.626557,-5.2580357,9.433258,-16.657045,-4.584316
AK0044-C,KIL55,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.743,arabiensis,,arabiensis,-429.8567,195.39346,3.5873797,-1.0790071,0.5687202,-3.6450417,-1.6741034,-2.3841212,5.041522,0.42131603
AK0046-C,KIL35,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45799999999999996,0.745,arabiensis,,arabiensis,-425.9246,194.00449,2.6085846,-0.50853795,-0.40188783,1.8770305,-2.892552,-3.5077338,4.8304386,5.6276193
AK0047-C,KIL36,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.7440000000000001,arabiensis,,arabiensis,-421.93417,190.90385,3.315854,0.44114023,-1.7370671,2.2940369,-1.6256216,-5.252508,3.4058883,0.8559317
AK0049-C,KIL38,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.32,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,157.2311,88.441185,-210.8455,-0.8920307,-181.8772,-46.640545,-20.650576,18.361,7.7355065,1.7134795
AK0050-C,KIL39,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.133,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,143.97812,66.53094,-138.50525,241.9667,25.091972,-67.14463,-31.213882,25.148476,13.462558,3.2422035
AK0051-C,KIL40,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.157,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,115.38987,14.5386095,300.81137,97.4512,-45.6698,15.33679,9.135727,-8.859698,0.5721942,-0.82735664
AK0052-C,KIL41,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.222,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,127.53413,50.752205,-178.14497,137.80519,-109.911705,-116.31175,-57.081734,41.956074,24.286238,8.808216
