sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK0049-C,KIL38,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.32,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-210.4391,-2.71865,-37.519665,-191.90117,37.225227,-148.54594,0.42233896,-1.6322207,0.4525756,-2.0168772
AK0050-C,KIL39,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.133,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-186.36052,-47.37822,-11.621163,-84.80613,228.90202,31.926485,-2.7638407,-2.7812548,-2.9900713,-1.3907567
AK0051-C,KIL40,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.157,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-140.55165,72.760605,66.66055,261.20856,55.680397,-51.62549,1.0132586,1.4198271,3.598934,0.72115207
AK0052-C,KIL41,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.222,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-168.81175,-17.330418,-14.007327,-143.40645,160.70311,-84.0391,-1.1470858,1.1733581,-0.9325903,-4.357609
AK0062-C,KIL47,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.068,0.003,gamb_colu,gambiae,gambiae,-172.97864,77.28425,21.512468,103.270355,-15.073015,-14.680276,1.0667084,2.4583497,1.9147546,-5.2041163
AK0063-C,KIL1,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.099,0.003,gamb_colu,gambiae,gambiae,-174.50073,92.13016,46.86534,184.75648,0.7038495,-82.12187,0.9197925,0.09311924,3.282423,2.8674595
AK0065-C,KIL3,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.276,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-173.34116,-33.93023,-0.9673426,-34.936607,128.82092,155.4078,-3.0778925,-0.76867425,-0.83011353,8.679462
AK0067-C,KIL5,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-153.91246,-48.088634,5.0839467,-20.723635,236.52489,73.85576,-2.674491,-0.32642868,-0.23509388,-0.99381715
AK0068-C,KIL6,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.33,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-215.61671,-4.0744896,-22.105444,-106.5827,138.05458,-38.57188,-0.5915308,-0.73543566,-0.08102022,0.6133612
AK0069-C,KIL7,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.309,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-178.09369,-57.241524,-5.64295,-40.61794,319.2351,84.0006,-2.805329,-2.1298952,-2.1119242,-1.3491665
AK0070-C,KIL8,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.153,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-164.56871,49.90727,8.148301,30.105804,37.54952,-113.77893,1.8581007,3.978728,-3.0591683,-4.467435
AK0071-C,KIL9,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22399999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-222.89305,60.40053,-11.889747,-63.327843,-7.923807,-140.75534,1.3411694,-0.90333927,3.2388003,3.1037233
AK0072-C,KIL10,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.34600000000000003,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-166.71126,26.184132,10.041301,2.608721,122.25922,-8.939772,-0.64631504,5.72486,-4.8610187,-4.4254575
AK0073-C,KIL11,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.18600000000000003,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-205.93564,47.47149,-3.3575282,-17.565773,-4.9106584,-137.97365,1.5868726,-1.6398857,3.0375571,-0.55133843
AK0076-C,KIL14,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.235,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-214.2364,-19.455513,-31.314592,-137.47383,123.79295,-72.30437,0.29832992,-2.1178353,0.39464784,-1.8529849
AK0077-C,KIL15,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.237,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-158.28044,9.277934,-9.029101,-85.31445,-115.62066,180.85153,-2.699796,-0.24816278,-2.153689,-5.4926257
AK0078-C,KIL16,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.19899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-193.62375,-7.3442907,2.675199,-12.711728,34.510586,79.1934,-1.5243845,-4.671406,5.771049,11.681626
AK0079-C,KIL17,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.168,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-214.43202,-19.468178,-31.479288,-137.90468,124.36115,-72.4813,0.15356043,-2.107326,0.54601264,-1.7569382
AK0081-C,KIL19,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.203,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-197.59433,41.398373,-0.54058796,-17.252483,-25.156061,-129.1189,1.4981204,-1.7333658,3.0447369,0.7471009
AK0082-C,KIL20,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-183.26857,-20.938334,-17.27376,-86.52414,-76.82772,224.13809,-1.0621444,-2.5431585,-0.9362256,5.4349856
AK0083-C,KIL21,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.201,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-198.84702,-5.238292,4.009324,-8.438965,148.65176,24.920853,-1.0536435,-2.9521809,0.2788921,2.712425
AK0085-C,KIL23,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.215,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-177.33563,38.933067,32.180687,134.68184,130.71437,39.317818,-0.93919814,0.1720697,-4.6724415,-2.2276936
AK0086-C,KIL24,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.138,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-182.94225,48.53102,22.228817,60.629444,-52.18241,29.893356,-1.231746,-1.2727411,-1.3698231,1.9889938
AK0087-C,KIL25,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.146,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-175.32008,19.927029,19.003475,72.85629,-49.795628,167.56561,-3.429915,-4.9402146,8.416219,9.911168
AK0088-C,KIL26,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.105,0.003,gamb_colu,gambiae,gambiae,-165.25444,64.38688,27.075045,92.57066,-48.04093,16.76643,-0.7641996,2.1569817,-1.2514445,-1.8068396
AK0089-C,KIL27,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-221.21983,45.439194,-25.25034,-94.74978,-73.5537,-169.89467,2.6103528,-3.577785,2.6632447,1.1696944
AK0091-C,KIL29,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.163,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-178.42413,80.59062,27.792686,102.39767,-48.439484,-50.46836,-0.053710803,0.9425033,2.6110783,0.12934631
AK0093-C,KIL31,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.253,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-215.22394,52.29605,-25.762442,-129.43948,-88.7771,-114.81252,0.2900578,-1.2589458,-0.19635755,1.7331814
