sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AG0147-C,2614,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.152,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-80.49511,32.66875,-30.477564,-59.93573,61.045185,-11.1280365,-39.16248,74.53654,-78.64185,19.515354
AG0159-C,2626,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.076,0.005,gamb_colu,gambiae,gambiae,-77.32572,21.948652,-25.267872,-23.674486,3.8941617,9.017738,-42.73645,-50.383144,50.758068,198.5953
AG0232-C,2761,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.107,0.005,gamb_colu,gambiae,gambiae,-70.478485,20.568012,-5.027816,20.612942,-13.0138645,8.337485,23.384638,22.324522,2.6889656,-57.512486
AG0129-C,2596,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.005,gamb_colu,gambiae,gambiae,-76.717964,45.873627,-34.92561,23.996925,-84.793495,-56.337444,-10.025908,40.086933,-25.070522,-13.045328
AG0153-C,2620,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.09699999999999999,0.005,gamb_colu,gambiae,gambiae,-57.306377,37.53078,-45.52134,-23.040232,-26.807114,-68.06385,-28.898653,-49.84401,46.64469,22.93472
AG0163-C,2630,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.087,0.005,gamb_colu,gambiae,gambiae,-61.92131,24.651102,-32.890682,-39.359802,-47.047127,-80.74925,-4.5964355,-68.45658,55.76837,55.00016
AG0200-C,2698,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.948,0.005,gamb_colu,coluzzii,coluzzii,51.806263,-0.8731269,-24.741627,-14.653771,-10.497168,-6.844296,12.224767,1.9972739,-9.122511,-8.91215
AG0209-C,2707,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.9279999999999999,0.005,gamb_colu,coluzzii,coluzzii,48.48938,3.8764055,-18.455612,-33.65245,4.1249776,3.8506713,1.2225536,-2.1978474,-1.6714591,-16.156122
AG0229-C,2758,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.079,0.005,gamb_colu,gambiae,gambiae,-84.52418,22.138157,-31.039717,18.462708,15.867132,-92.26504,4.230913,-39.047012,48.392994,-14.645793
AG0230-C,2759,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.11,0.004,gamb_colu,gambiae,gambiae,-65.046234,24.069063,-18.619423,1.3647736,13.953982,7.7339735,9.733216,-34.221714,4.7974052,-28.552876
AG0098-C,2534,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08,0.005,gamb_colu,gambiae,gambiae,-88.86796,48.29702,-52.164658,-20.888962,54.55873,23.905775,4.2468715,93.47246,-54.389767,-42.141373
AG0104-C,2540,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.005,gamb_colu,gambiae,gambiae,-70.10906,31.024424,-12.15282,22.797935,-19.028719,23.596304,1.1838256,6.707289,0.16360465,15.854225
AG0106-C,2542,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.073,0.006,gamb_colu,gambiae,gambiae,-77.36308,42.71977,-7.825468,2.3611314,-5.3609676,-51.579967,-26.793316,-17.756172,21.909573,-29.732548
AG0120-C,2556,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.11800000000000001,0.005,gamb_colu,gambiae,gambiae,-77.94006,43.48665,-21.512438,26.307224,-49.08215,-56.088066,3.981068,-23.953608,20.882887,-33.855053
AG0136-C,2603,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.078,0.004,gamb_colu,gambiae,gambiae,-81.25488,27.26732,-28.71464,-29.398628,19.92993,43.67396,-11.869465,-62.568874,51.671406,32.71072
AG0141-C,2608,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.102,0.005,gamb_colu,gambiae,gambiae,-69.78964,25.826921,-9.370843,62.640896,-33.08334,52.018105,28.339678,14.79821,-22.016657,-19.854351
AG0145-C,2612,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.07,0.005,gamb_colu,gambiae,gambiae,-86.524536,39.110847,-27.302414,-37.861847,54.27809,89.99313,-0.8158632,-42.71574,39.51269,47.14699
AG0148-C,2615,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08199999999999999,0.004,gamb_colu,gambiae,gambiae,-84.556816,15.741489,-70.54938,-26.074022,5.576969,-3.4709136,19.00838,47.51551,-59.3446,-59.14934
AG0172-C,2639,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.12,0.006999999999999999,gamb_colu,gambiae,gambiae,-78.50943,39.701294,4.1749773,50.95284,46.89893,66.73526,16.389376,-22.10449,57.20545,44.439384
AG0179-C,2677,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.08,0.006,gamb_colu,gambiae,gambiae,-65.33603,45.943474,-24.18984,63.710693,-53.24157,-93.559784,38.05748,17.442223,-9.880534,-1.6094371
AG0223-C,2721,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.075,0.005,gamb_colu,gambiae,gambiae,-69.66416,13.187892,-20.42219,15.225057,-46.950832,-9.660108,26.866453,-26.024145,2.9031107,-56.38783
AG0118-C,2554,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.133,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-81.37333,43.047688,1.5398303,44.393993,47.327705,71.17312,2.0693016,-53.192535,66.93847,35.802082
AG0119-C,2555,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.004,gamb_colu,gambiae,gambiae,-73.67533,7.8751082,-35.99503,18.143015,70.30863,43.102745,31.850271,25.305399,-11.852302,-29.426659
AG0121-C,2557,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.10400000000000001,0.005,gamb_colu,gambiae,gambiae,-80.28527,23.856014,-25.014267,1.1077741,-280.26358,157.12761,-22.475967,36.274006,-30.533022,23.120985
AG0133-C,2600,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.061,0.004,gamb_colu,gambiae,gambiae,-79.68044,25.752241,-27.264809,-37.587105,14.60518,33.472046,-17.827694,50.722176,-44.000378,11.256823
AG0134-C,2601,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08,0.004,gamb_colu,gambiae,gambiae,-70.22925,16.254816,-31.201794,-29.904636,22.567259,3.0573597,14.457668,24.01354,-16.349344,-1.9681283
AG0138-C,2605,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.078,0.004,gamb_colu,gambiae,gambiae,-78.93658,29.697178,-43.821262,-29.037163,6.2029037,39.37865,31.967024,-66.039795,71.04721,-0.07329481
AG0227-C,2725,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.12,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-72.595535,49.816746,-17.378054,11.776832,-9.787751,-77.57656,-20.555845,-5.2860913,2.462189,-43.53587
AG0231-C,2760,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.094,0.005,gamb_colu,gambiae,gambiae,-65.098465,8.00631,1.2466975,13.734856,-11.983445,-25.633722,0.055476006,-26.484472,33.327473,48.552883
AG0102-C,2538,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.084,0.006,gamb_colu,gambiae,gambiae,-88.19069,30.45715,-38.07984,32.67375,-8.122587,-16.734789,21.229267,-2.7229464,0.07358986,-47.73171
AG0108-C,2544,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.098,0.006,gamb_colu,gambiae,gambiae,-66.63845,41.19146,-6.939307,35.78591,65.34224,20.55473,14.567681,-15.325043,23.299097,-29.602882
