sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK0041-C,KIL52,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.451,0.742,arabiensis,,arabiensis,-113.454025,-10.68342,-0.6714062,3.0264747,0.07603349,-0.44526276,-0.19796354,-0.4352122,0.30854273,-0.34750798
AK0042-C,KIL53,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.742,arabiensis,,arabiensis,-114.521164,-10.913821,-1.1349636,2.646633,0.23075964,-0.5952259,0.9223816,0.4508969,0.9660891,-0.7672729
AK0043-C,KIL54,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.7440000000000001,arabiensis,,arabiensis,-115.351105,-10.765953,-1.0270683,3.7178707,0.28544313,-0.5340784,0.46112144,-0.02547447,0.20718788,-0.58625996
AK0044-C,KIL55,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.743,arabiensis,,arabiensis,-113.2669,-10.644071,-0.4939834,1.9430227,0.18407096,-0.52291846,-0.46448988,0.6908561,0.4927596,-0.06875449
AK0046-C,KIL35,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45799999999999996,0.745,arabiensis,,arabiensis,-111.5009,-10.608877,0.008648093,1.8270894,-0.06402607,-0.05023329,-0.15314957,-0.10162575,0.46183655,-0.023237653
AK0047-C,KIL36,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.7440000000000001,arabiensis,,arabiensis,-114.90155,-11.418986,-0.700963,2.6880274,-0.20456478,0.046590507,-0.23291998,0.3844923,0.8148758,0.76825416
AK0049-C,KIL38,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.32,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,222.8087,-205.17729,6.350116,-30.480991,200.98103,22.200916,178.2113,-2.9745448,-0.7748196,-1.0587895
AK0050-C,KIL39,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.133,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,225.15874,-184.36487,-43.03406,-15.904629,138.54977,245.24081,-38.993656,-2.2367337,-2.3145778,3.1175606
AK0051-C,KIL40,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.157,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,212.52242,-129.65935,75.3601,57.614475,-276.08652,100.85235,35.39919,-0.31872782,-0.25389817,-1.9262122
AK0052-C,KIL41,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.222,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,215.61913,-163.31256,-13.683506,-12.381975,173.44681,162.51022,90.492935,-3.66995,-0.39763337,0.6758364
AK0054-C,KIL43,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.456,0.733,arabiensis,,arabiensis,-113.375656,-12.144522,-0.77440834,2.4808517,0.84995383,0.5980264,-0.56109804,0.37647718,-0.29023033,-0.7755988
AK0055-C,KIL44,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45799999999999996,0.7440000000000001,arabiensis,,arabiensis,-113.54011,-10.292377,-0.6794885,1.8462938,0.15901425,-0.14674552,0.059929714,0.14206387,0.19649012,-1.0609279
AK0056-C,KIL46,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.455,0.738,arabiensis,,arabiensis,-113.644646,-10.047509,-0.22671252,3.1066573,-0.23964521,-0.13200201,-0.8257994,-0.42294446,-0.23030928,0.1775432
AK0062-C,KIL47,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.068,0.003,gamb_colu,gambiae,gambiae,221.30415,-166.66673,83.523346,20.567678,-117.57959,1.1075455,10.688918,-2.623622,-1.5118784,-1.8554674
AK0063-C,KIL1,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.099,0.003,gamb_colu,gambiae,gambiae,219.6842,-163.28033,94.77623,41.176277,-212.91231,32.37467,68.56122,0.27691647,-0.8243564,-0.86584663
AK0065-C,KIL3,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.276,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.6074,-170.84114,-34.527348,-6.8024774,79.93038,117.062225,-192.34616,4.368314,0.96522033,1.5073948
AK0067-C,KIL5,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,214.51413,-149.73018,-47.272697,-1.8214608,75.302574,253.6908,-92.22935,1.5283648,-1.6984411,0.71377206
AK0068-C,KIL6,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.33,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,228.7356,-210.72412,0.9564227,-21.499098,134.83656,141.2947,41.974728,0.123835415,-1.0555108,-1.5237448
AK0069-C,KIL7,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.309,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.62906,-179.25737,-56.528244,-13.680203,112.76198,347.9731,-102.08328,0.024933659,-0.77934223,0.9929592
AK0070-C,KIL8,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.153,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,215.55167,-163.15105,53.844326,5.3825483,-22.7008,56.433872,127.19313,-0.12379852,2.8773413,-3.4569733
AK0071-C,KIL9,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22399999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,228.47021,-213.43814,67.91244,-6.80267,42.146282,-12.206658,151.15651,-0.6225824,-2.2268405,-2.9490194
AK0072-C,KIL10,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.34600000000000003,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,218.33382,-163.19086,25.178331,4.4111533,29.1583,134.41519,6.7189,0.51468503,2.0029814,-1.0581163
AK0073-C,KIL11,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.18600000000000003,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,225.47552,-198.52396,57.255165,0.27993834,1.9699082,1.7969584,158.69945,-0.80637455,-1.5641828,-3.2616642
AK0076-C,KIL14,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.235,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,227.34499,-211.33514,-11.243321,-29.430141,167.9734,127.40002,91.19454,-0.8446811,-1.5578089,-1.7681878
AK0077-C,KIL15,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.237,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,216.0281,-152.57703,17.413702,-8.802405,86.57382,-152.73235,-168.20995,1.1399525,1.1193156,1.1333646
AK0078-C,KIL16,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.19899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.71446,-184.62048,-1.1260749,0.742395,17.65372,13.879293,-99.0734,3.8673358,-1.2062994,-2.6094308
AK0079-C,KIL17,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.168,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,227.30737,-211.34523,-11.17433,-29.229866,168.1414,127.529816,90.60445,-1.0124071,-1.39665,-2.231015
AK0081-C,KIL19,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.203,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.05019,-189.77695,50.56051,3.138091,0.66121304,-24.71065,148.27129,-0.6761866,-0.77828336,-1.903193
AK0082-C,KIL20,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,224.50804,-177.31174,-13.4048195,-16.878735,97.38277,-125.25199,-240.14082,1.7804102,0.27063465,0.6620167
AK0083-C,KIL21,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.201,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,236.04367,-194.47237,-2.1680818,0.5479771,30.395061,161.56781,-41.412086,-1.3647052,-1.9583441,0.42969638
AK0085-C,KIL23,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.215,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.23338,-171.43117,38.608498,23.757751,-115.45899,171.6977,-59.168682,-0.2476159,1.0760425,1.5443983
AK0086-C,KIL24,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.138,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,222.90479,-172.4925,54.308754,19.54072,-77.86527,-51.35158,-29.228344,1.2979008,0.25987238,2.3209743
AK0087-C,KIL25,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.146,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,220.78769,-168.14792,24.751743,15.504718,-77.51258,-60.864132,-192.95735,6.5560565,-1.5932829,2.2433848
AK0088-C,KIL26,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.105,0.003,gamb_colu,gambiae,gambiae,217.98874,-158.04326,67.94567,23.404459,-106.90742,-40.054035,-9.271787,1.3807703,1.685351,-0.21000206
AK0089-C,KIL27,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,227.18262,-214.55466,54.651653,-18.4519,69.109825,-82.25167,199.95007,-2.1138437,-2.656949,-0.013518248
AK0091-C,KIL29,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.163,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,216.31741,-166.33644,85.60475,26.171944,-121.37952,-34.254295,55.984287,2.2455878,-1.1202644,0.34342983
AK0093-C,KIL31,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.253,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.32811,-206.08372,61.51426,-18.39536,113.89312,-110.17025,142.00835,0.5360191,-1.7133374,1.2508384
AK0094-C,KIL32,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.182,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,228.7221,-200.273,30.045322,-13.729076,72.44527,-152.43054,-201.59497,4.8094063,0.49901667,0.8763412
AK0095-C,KIL33,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.233,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,216.46701,-164.35127,55.912807,8.243226,3.5991335,-4.0057144,58.4515,2.4819226,-0.04275694,-2.533196
AK0096-C,KIL56,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.299,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,226.506,-195.79286,62.959328,4.862683,-26.627504,-78.7935,53.837177,0.26982638,-0.696028,0.69671595
AK0098-C,KIL58,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.335,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,226.60448,-203.24365,59.553177,-8.426104,56.718246,-118.20404,68.633675,1.4600704,-0.39067525,0.37349573
AK0099-C,KIL59,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.115,0.004,gamb_colu,gambiae,gambiae,222.39313,-182.17274,53.991566,-16.13845,90.59882,-153.2142,-17.353092,-4.345587,0.8425667,1.5130357
AK0101-C,KIL61,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.165,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,218.90134,-148.6383,107.535385,61.534054,-311.0263,36.839737,2.42152,0.027635826,1.8490539,-0.10495132
AK0102-C,KIL62,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.106,0.004,gamb_colu,gambiae,gambiae,224.59755,-168.70891,29.767363,16.288475,-83.98723,104.96932,-117.29264,-1.1362665,1.3870901,3.7935016
AK0104-C,KIL64,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.125,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,216.77623,-161.70525,84.79152,25.385561,-82.29035,-17.67391,91.09902,1.5212848,0.764437,-1.3335433
AK0105-C,KIL65,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.242,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,217.97876,-148.92384,104.3457,54.864677,-287.5795,4.2035847,-37.944794,0.9009498,1.1913754,1.1301434
AK0106-C,KIL66,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.073,0.004,gamb_colu,gambiae,gambiae,216.4094,-138.68398,80.91251,18.325489,-63.4426,-100.45218,-65.776695,-5.2069755,1.7743745,1.8448285
AK0107-C,KIL67,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.215,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.9092,-184.8868,75.72348,6.65399,-13.516755,-93.89996,-16.550959,-0.16702747,-0.16006091,2.3393166
AK0108-C,KIL68,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.129,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,226.22015,-200.70023,45.69831,-25.647417,123.209335,-154.69772,24.789776,-3.2369485,-0.47044295,-0.46992564
AK0110-C,KIL70,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.182,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.97354,-168.33572,86.61744,39.87853,-245.32687,-36.080994,-24.726133,-0.8409703,0.65559155,3.6211212
AK0116-C,KIL76,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.096,0.004,gamb_colu,gambiae,gambiae,223.74901,-167.47969,65.62177,18.264818,-116.031746,-84.819,-99.78002,-3.0841246,1.9392728,0.9614686
AK0117-C,KIL77,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.252,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,227.00092,-212.39264,81.55809,-16.662392,92.5081,-132.55951,122.980484,1.6098329,-1.5472299,0.90581566
AK0119-C,KIL79,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.25,0.002,gamb_colu,intermediate,intermediate_gambiae_coluzzii,213.11858,-131.10892,69.13074,21.255243,-51.64054,-21.333305,-13.158486,-5.1553426,0.6470013,-1.5145601
AK0127-C,KIL86b,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.13699999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,223.34499,-184.1841,-0.0657108,-20.952679,135.64453,-79.300095,-108.01079,2.8892956,-0.43329656,-1.065446
