sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
BL0046-C,Plate_C_H6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.125,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-320.4683,-9.253974,-2.7934582,12.843618,7.142611,-43.794594,12.587257,-3.8908195,17.639826,-5.326446
BL0052-C,Plate_D_1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,M,AG1000G-TZ,v3,0.040999999999999995,0.015,gamb_colu,gambiae,gambiae,53.658684,93.975525,4.6493707,-7.1258073,-61.792347,-20.552391,27.6264,-48.805687,72.54335,-62.481625
BL0054-C,Plate_D_B2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.033,0.004,gamb_colu,gambiae,gambiae,48.585735,88.808075,-12.140246,12.408647,-50.456253,-17.079695,43.805393,271.98502,-37.565533,7.3718505
BL0058-C,Plate_D_H7,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.045,0.017,gamb_colu,gambiae,gambiae,51.88557,115.589096,-1.5646104,-36.205235,47.880512,-8.466198,-82.49937,-60.343872,-45.436195,-217.09207
BL0063-C,Plate_D_G8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.033,0.008,gamb_colu,gambiae,gambiae,50.61871,131.70174,4.346185,-35.920467,-7.988899,7.053602,22.658255,-20.229513,-37.876503,96.52599
BL0065-C,Plate_D_C9,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.035,0.003,gamb_colu,gambiae,gambiae,48.504875,128.42552,4.1621675,-63.65382,-9.07923,-42.19601,-71.62276,145.5858,-15.19402,-59.059547
BL0078-C,Plate_B_G7,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.032,0.004,gamb_colu,gambiae,gambiae,50.01135,100.51269,-9.657821,-49.618164,-31.145565,-38.31144,14.741008,83.667336,-11.4131365,-13.185
BL0079-C,Plate_B_B8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.038,0.019,gamb_colu,gambiae,gambiae,54.426384,102.88624,4.616973,100.267075,129.69365,43.652462,87.55304,-34.223007,-13.3349085,-74.938866
BL0100-C,Plate_A_A1,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,M,AG1000G-TZ,v3,0.035,0.012,gamb_colu,gambiae,gambiae,50.401722,113.00368,11.890535,33.501244,25.794827,5.841158,-47.95222,103.27326,16.411856,90.83397
BL0101-C,Plate_A_A2,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.036000000000000004,0.003,gamb_colu,gambiae,gambiae,48.937828,106.501114,12.113563,-39.372303,-17.459652,-17.475351,-14.231627,167.66904,-50.159786,47.4166
BL0102-C,Plate_A_B2,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.027999999999999997,0.002,gamb_colu,gambiae,gambiae,50.380333,105.18681,1.9727677,-40.227818,-26.572212,-28.791597,68.913246,-99.64501,6.5831084,-161.99371
BL0103-C,Plate_A_E2,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.024,0.003,gamb_colu,gambiae,gambiae,54.15684,108.79682,-1.3120813,49.456985,-7.975551,-1.6707318,-179.42474,-70.48918,164.67271,81.39172
BL0105-C,Plate_A_A3,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,M,AG1000G-TZ,v3,0.052000000000000005,0.012,gamb_colu,gambiae,gambiae,51.95331,116.2207,24.398657,33.395824,-8.293087,5.5682907,22.918985,-37.289497,-4.3805695,-20.056948
BL0106-C,Plate_A_B3,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,M,AG1000G-TZ,v3,0.037000000000000005,0.013000000000000001,gamb_colu,gambiae,gambiae,51.98633,120.98684,4.056147,90.77249,64.17624,52.236397,-30.253315,30.424715,-14.99262,81.74334
BL0107-C,Plate_A_C3,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,M,AG1000G-TZ,v3,0.043,0.013000000000000001,gamb_colu,gambiae,gambiae,45.513817,112.77362,2.5140338,-61.975468,-13.001533,-37.19516,-16.122456,-3.2190723,-38.025963,-33.415848
