sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK0041-C,KIL52,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.451,0.742,arabiensis,,arabiensis,-114.20565,2.5316296,0.5707198,-0.71271765,-20.077745,0.35668743,-0.7515755,0.352289,-0.0022644992,-0.43399483
AK0042-C,KIL53,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.742,arabiensis,,arabiensis,-116.23027,1.6694449,0.036900498,-0.2632503,-22.242037,0.6999076,-0.28487033,0.44021362,0.5334815,-0.05684437
AK0043-C,KIL54,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.7440000000000001,arabiensis,,arabiensis,-116.62129,2.6735685,-0.86459297,-0.024611212,-19.601486,0.50538814,-0.800996,1.4853445,-0.19127841,-0.24646811
AK0044-C,KIL55,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.743,arabiensis,,arabiensis,-115.29624,2.5364068,-0.41043565,-0.37744784,-26.382383,1.0576632,-0.14127229,0.04838925,0.44578245,0.21581195
AK0046-C,KIL35,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45799999999999996,0.745,arabiensis,,arabiensis,-113.43641,2.733509,-0.40549803,-1.451465,-18.75788,-0.18527862,-0.8754127,-0.1266186,0.61133265,0.05422586
AK0047-C,KIL36,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.7440000000000001,arabiensis,,arabiensis,-115.09652,2.5193021,-0.22307967,-0.3941853,-18.92704,0.9222235,-0.6349546,-0.27066618,0.4379155,1.0940354
AK0049-C,KIL38,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.32,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,110.236336,250.93407,-61.41658,6.524995,2.4186103,131.99864,1.1789356,-106.81515,-57.999756,-139.87239
AK0050-C,KIL39,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.133,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,110.597595,244.69574,-47.85432,-70.71296,3.4832916,207.04732,173.8787,25.475754,2.8242092,1.6354268
AK0051-C,KIL40,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.157,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,101.53908,171.93132,8.348361,60.32353,-1.6639581,-137.74472,76.66979,196.53485,-11.850938,-17.637642
AK0052-C,KIL41,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.222,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,107.23179,227.08127,-38.21447,-39.10564,3.7515492,189.62524,120.94808,-34.100674,-35.901443,-86.62634
