,sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
269,AB0333-C,BF18-11,Austin Burt,Burkina Faso,Bana,2014,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-B,v3,0.47200000000000003,0.731,arabiensis,,arabiensis,-1.0079103,-432.5483,46.801872,0.40017813,-0.96618354,26.145008,-27.31144,-76.23484,-43.071125,116.44
324,AB0457-C,BF17-34,Austin Burt,Burkina Faso,Pala,2014,7,11.15,-4.235,M,AG1000G-BF-B,v3,0.452,0.7120000000000001,arabiensis,,arabiensis,-7.5954905,-552.3345,107.47807,16.495266,-23.922758,-85.6343,51.22704,87.85001,9.920395,-49.336437
341,AB0502-C,BF17-15,Austin Burt,Burkina Faso,Pala,2014,7,11.15,-4.235,M,AG1000G-BF-B,v3,0.441,0.693,arabiensis,,arabiensis,-7.4670258,-435.7312,65.47601,21.214542,-1.3596992,-19.019201,5.735657,34.980865,17.114927,-64.47002
1012,AN0341-C,621,Brad White,Cameroon,Lagdo,2013,10,9.049,13.655999999999999,F,AG1000G-CM-C,v3,0.478,0.6509999999999999,arabiensis,,arabiensis,-2.1636698,-60.590702,-37.497253,-36.650707,36.53032,109.74076,-67.19439,-112.59876,27.744665,12.066832
1013,AN0338-C,557,Brad White,Cameroon,Lagdo,2013,10,9.049,13.655999999999999,F,AG1000G-CM-C,v3,0.493,0.618,arabiensis,,arabiensis,-3.7370768,-66.10658,-47.712154,-34.360847,53.270374,156.57463,-80.35728,-112.335815,54.535946,4.4559093
1862,AK0041-C,KIL52,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.451,0.742,arabiensis,,arabiensis,25.495743,13.696531,46.777058,-28.84868,-17.218956,-2.2179003,-15.936099,12.344352,14.23487,7.7982936
1863,AK0042-C,KIL53,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.742,arabiensis,,arabiensis,27.570545,9.323536,74.77783,-112.44038,-24.70426,21.324121,0.7755079,-1.3444972,61.746048,68.676384
1864,AK0043-C,KIL54,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.7440000000000001,arabiensis,,arabiensis,26.384678,14.46429,63.96373,-78.12303,-17.086159,8.517936,-8.778558,-5.4102535,10.736686,30.56535
1865,AK0044-C,KIL55,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45399999999999996,0.743,arabiensis,,arabiensis,29.509892,11.690907,51.14809,-61.872826,-10.341611,4.291914,5.479702,7.914911,16.989246,12.821656
1866,AK0046-C,KIL35,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45799999999999996,0.745,arabiensis,,arabiensis,23.545143,9.99805,39.243454,-36.982845,-5.8339763,6.5024304,-8.146815,-10.21266,16.72182,6.024662
1867,AK0047-C,KIL36,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45299999999999996,0.7440000000000001,arabiensis,,arabiensis,22.901937,12.6399145,44.348614,-29.26565,4.263737,-1.9936974,0.54659534,-13.977683,21.785425,3.147527
1872,AK0054-C,KIL43,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.456,0.733,arabiensis,,arabiensis,26.44177,13.773246,46.651894,-45.711037,-12.262648,-19.207617,-16.121244,-1.3953972,-6.501175,-4.605302
1873,AK0055-C,KIL44,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.45799999999999996,0.7440000000000001,arabiensis,,arabiensis,25.792782,10.6779785,36.285236,-38.615875,-2.9029362,15.733883,-2.5346003,19.975159,11.587775,-7.936183
1874,AK0056-C,KIL46,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.455,0.738,arabiensis,,arabiensis,28.081293,14.796994,37.62623,-18.033167,-7.5211215,-22.155788,-25.022884,0.49746874,14.648907,-1.9221262
1917,AK0057-Cx,KIL48,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.46,0.748,arabiensis,,arabiensis,22.570951,12.330861,49.040443,-38.812294,-13.738548,-4.3114004,-1.3795234,2.788624,10.352295,15.4592495
1945,AK0284-C,GF989,Janet Midega,Kenya,Kilifi,2007,-1,-3.511,39.909,F,AG1000G-KE,v3,0.465,0.614,arabiensis,,arabiensis,20.827486,10.91453,44.79708,-44.025726,-32.568535,-8.97585,-24.378365,-11.944343,0.97011113,-1.0705624
1946,AK0298-C,GF1013,Janet Midega,Kenya,Kilifi,2007,-1,-3.511,39.909,F,AG1000G-KE,v3,0.457,0.722,arabiensis,,arabiensis,23.674772,16.239304,62.90913,-50.402004,-22.227976,7.526769,-10.669916,3.9394398,-0.5032355,17.162645
1947,AK0299-C,GF1014,Janet Midega,Kenya,Kilifi,2007,-1,-3.511,39.909,F,AG1000G-KE,v3,0.46,0.6609999999999999,arabiensis,,arabiensis,24.744684,14.748276,42.92916,-15.212782,-6.5463247,-11.938583,-6.4160028,-3.6513946,5.3110323,12.113833
2040,VBS02056-4431STDY6672924,DN087,Nora Besansky,Mali,Douna,2004,8,13.21,-5.9,F,AG1000G-ML-B,v3,0.467,0.6970000000000001,arabiensis,,arabiensis,-2.1150482,-65.987236,-35.15341,-23.758245,29.626637,90.31378,-40.623116,-63.622585,15.328108,-11.964473
2045,VBS02061-4431STDY6672929,fz001,Nora Besansky,Mali,Fanzana,2004,8,13.2,-6.13,F,AG1000G-ML-B,v3,0.466,0.7090000000000001,arabiensis,,arabiensis,-0.58328545,-65.29572,-46.56392,-41.46654,32.78204,103.47019,-72.439896,-144.12042,-19.930565,103.76217
2079,AZ0152-C,ME234D,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.455,0.747,arabiensis,,arabiensis,-168.85994,6.423563,-4.5879893,0.871842,-2.2303238,-0.4324483,20.484896,13.863323,-40.182907,34.826103
2080,AZ0153-C,ME234E,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.457,0.75,arabiensis,,arabiensis,-150.03757,6.1067653,2.1648011,-17.230726,2.6435046,-8.400348,-2.339713,2.5176508,5.656382,9.618831
2081,AZ0155-C,ME234G,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45799999999999996,0.7509999999999999,arabiensis,,arabiensis,-142.85706,7.0364604,1.4260831,2.107701,-2.2906408,-3.130129,7.951169,-13.20211,1.963494,10.88492
2082,AZ0156-C,ME234H,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.457,0.748,arabiensis,,arabiensis,-148.0164,5.313035,-4.2650847,2.0812747,0.018214075,-12.2266,16.6905,-10.181472,35.193848,19.470692
2083,AZ0157-C,ME234J,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45799999999999996,0.75,arabiensis,,arabiensis,-148.54128,3.498723,1.7644752,-17.922258,-3.5167267,21.584164,17.42971,-16.086222,12.638715,24.204504
2084,AZ0158-C,ME234K,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45299999999999996,0.7490000000000001,arabiensis,,arabiensis,-152.2457,8.07639,9.147491,-7.2488713,-6.081768,12.82983,7.4861975,13.861159,-0.40722996,17.90356
2085,AZ0159-C,ME234O,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.456,0.75,arabiensis,,arabiensis,-152.2205,6.607007,3.4341955,-4.6464615,0.37524903,-3.1331842,0.17266528,-12.517075,10.097118,-20.909779
2086,AZ0160-C,ME234P,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.462,0.7490000000000001,arabiensis,,arabiensis,-156.60867,4.578193,-1.9571321,-3.8743045,1.622637,-12.454461,-1.8339468,-8.014417,21.159513,-24.646538
2087,AZ0161-C,ME234R,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,-152.46371,7.7717104,4.0498285,-12.70844,6.006208,-15.831861,-3.172111,-4.4365535,38.602516,5.1977873
2088,AZ0164-C,ME234X,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45799999999999996,0.75,arabiensis,,arabiensis,-161.11032,6.934543,6.9144716,-5.9554477,-6.80288,5.6640162,4.142863,27.204039,-17.328835,18.209555
2089,AZ0165-C,ME234Z,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45799999999999996,0.7509999999999999,arabiensis,,arabiensis,-148.00189,6.288525,5.544938,1.022589,-8.3701105,-13.25171,-29.409725,-12.139722,6.8164253,-8.354133
2090,AZ0166-C,ME2352,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45899999999999996,0.7509999999999999,arabiensis,,arabiensis,-149.53748,6.209055,1.0215836,5.5257564,-6.9053545,-6.500201,11.742106,-10.725346,2.4263663,12.114781
