sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK0049-C,KIL38,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.32,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-206.95581,-0.5880475,-33.37246,-193.13489,25.884062,-144.90044,-1.3084133,1.4822136,-1.5535306,0.72983295
AK0050-C,KIL39,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.133,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-183.86528,-39.87025,-12.71223,-86.5324,227.81245,26.382292,-0.5484326,0.13705741,-2.001673,-0.05830392
AK0051-C,KIL40,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.157,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-139.08963,67.96268,60.03414,256.0623,61.284138,-59.95819,-1.4085616,0.50865525,4.0156407,2.6041641
AK0052-C,KIL41,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.222,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-166.28136,-14.431112,-13.573649,-144.71568,150.05019,-84.42275,-0.4024366,-1.1576563,-0.8997107,2.1728842
AK0062-C,KIL47,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.068,0.003,gamb_colu,gambiae,gambiae,-169.864,73.28698,19.601213,104.182556,-6.7454486,-15.041102,-1.294511,-1.4323028,1.6076015,4.9557014
AK0063-C,KIL1,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.099,0.003,gamb_colu,gambiae,gambiae,-171.42088,84.84217,42.308773,181.74478,-4.3827634,-84.22363,-0.060036182,0.6383065,3.1128943,0.40880993
AK0065-C,KIL3,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.276,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-168.55461,-30.50393,-1.5699623,-34.16132,131.2439,147.09108,2.1978567,0.22905672,2.3135788,-7.0389743
AK0067-C,KIL5,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-151.33339,-43.22213,3.1976297,-22.31448,238.24467,61.38322,1.2257164,0.610773,0.096098624,0.052132938
AK0068-C,KIL6,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.33,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-211.91173,-3.2730763,-20.308023,-108.9504,132.08214,-42.244682,-0.38621262,0.30653942,-0.9228934,-0.39556792
AK0069-C,KIL7,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.309,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-175.13765,-52.541386,-6.7480536,-45.91897,317.8573,68.64818,-0.7067893,1.43655,-1.4958684,-0.09905291
