sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK0049-C,KIL38,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.32,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-235.76874,-50.488686,0.0297412,-130.36787,99.559525,-11.95676,-141.68599,1.0658419,-6.5580544,1.9825125
AK0050-C,KIL39,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.133,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-222.67693,-33.931187,-63.807865,-98.85076,38.144066,-227.72882,-16.774586,-0.120910846,-1.4505987,2.1826515
AK0051-C,KIL40,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.157,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-176.64954,11.112444,73.26703,185.18207,-152.71217,-62.017895,-23.937504,-3.6871846,-0.85364723,-1.2733277
AK0052-C,KIL41,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.222,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-209.24274,-27.229559,-35.10963,-114.33926,73.66078,-154.2506,-102.60531,-0.08699129,-5.0332665,3.0570452
AK0062-C,KIL47,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.068,0.003,gamb_colu,gambiae,gambiae,-194.66394,-18.851389,76.84759,80.204994,-63.9233,1.9982302,-11.333251,-1.0552647,-2.0174713,0.57713306
AK0063-C,KIL1,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.099,0.003,gamb_colu,gambiae,gambiae,-201.30396,-5.271403,89.33218,139.63441,-111.743935,-11.946847,-48.49152,-1.1974869,-0.30959255,-1.2437828
AK0065-C,KIL3,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.276,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-215.99763,-26.621132,-48.690487,-60.56986,23.56394,-121.2135,167.23586,-1.0114322,10.298748,-1.6481482
AK0067-C,KIL5,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-200.23335,-18.94451,-69.95412,-60.033257,10.395387,-225.35182,48.464123,-1.8325871,2.9540665,0.24586892
AK0068-C,KIL6,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.33,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-243.57954,-47.909885,-11.871875,-98.752335,54.088203,-107.84865,-57.34399,0.017898558,-1.3462905,0.34053475
AK0069-C,KIL7,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.309,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-220.85524,-31.782452,-83.42788,-84.800415,12.758675,-301.91425,28.56916,-0.538052,1.6238444,0.9000517
AK0070-C,KIL8,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.153,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-200.19989,-22.952179,50.65199,21.66619,-19.416521,-18.265583,-96.44002,-1.289511,-4.269488,0.21254344
AK0071-C,KIL9,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.22399999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-240.67761,-43.42263,66.749725,-30.40499,27.089827,39.64801,-115.7628,0.26937905,-2.656351,0.7446759
AK0072-C,KIL10,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.34600000000000003,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-207.64201,-19.633692,9.676301,-23.118824,7.0084033,-109.660706,-26.071495,-1.4770325,-0.28521314,-0.8312794
AK0073-C,KIL11,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.18600000000000003,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-225.5868,-36.253403,57.492775,2.78965,-1.2756144,28.2236,-110.76039,-1.1804186,-5.3363714,0.15098129
AK0076-C,KIL14,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.235,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-238.8086,-51.290867,-21.933718,-113.691925,66.993996,-93.20023,-83.38594,-0.19268292,-3.5193834,0.80831593
AK0077-C,KIL15,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.237,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-190.94864,-25.198671,12.418651,-50.336647,54.56583,93.28408,134.94699,1.1696306,3.3678064,0.09095712
AK0078-C,KIL16,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.19899999999999998,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-224.26627,-30.439852,-3.6069005,-14.595792,1.9949739,-8.683829,130.78462,-1.38763,9.175606,-0.686564
AK0079-C,KIL17,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.168,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-239.39447,-51.127575,-21.521921,-114.41392,67.45751,-93.98558,-83.42894,-0.16328008,-3.4431112,0.95173275
AK0081-C,KIL19,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.203,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-219.64635,-32.304497,54.20217,6.688302,0.23680614,43.459896,-99.62645,-1.0052325,-4.960613,0.17915168
AK0082-C,KIL20,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-209.59543,-36.16889,-17.243307,-65.680786,53.177406,66.89905,234.82864,1.7832648,9.375097,-1.3736328
AK0083-C,KIL21,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.201,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-231.16968,-30.01317,-14.354625,-22.774792,-8.90324,-138.71751,3.3934627,-0.45921394,1.4281124,1.3660972
AK0085-C,KIL23,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.215,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-209.54466,-14.247046,20.15794,67.51414,-81.12125,-154.31306,16.488747,-0.9843737,0.34647676,-1.1717781
AK0086-C,KIL24,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.138,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-212.0275,-19.003542,54.09791,53.308094,-32.899334,43.67425,26.065746,-0.8141791,0.72020817,-1.3846638
AK0087-C,KIL25,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.146,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-207.87212,-21.60724,19.788803,48.15438,-35.57837,32.057877,207.26,-1.5244806,11.710388,-2.9616942
AK0088-C,KIL26,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.105,0.003,gamb_colu,gambiae,gambiae,-199.23991,-14.912701,64.176704,73.680916,-46.696796,38.823437,16.395687,-1.2915467,0.36255956,-0.7692737
AK0089-C,KIL27,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.196,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-237.17139,-50.447563,59.404434,-41.8309,40.676434,90.57154,-137.55449,0.9575732,-5.446938,1.2054976
AK0091-C,KIL29,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.163,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-207.33557,-16.902391,81.9777,78.143166,-50.78684,42.224644,-35.347187,-1.5894291,0.1580894,-1.027286
AK0093-C,KIL31,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.253,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-235.87552,-49.170456,63.804688,-78.14809,79.64485,110.642876,-108.1104,-0.17953463,-3.6313727,0.07353324
AK0094-C,KIL32,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.182,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-230.37067,-46.086723,24.23323,-54.827415,53.551464,96.365875,190.32568,0.31381157,11.057587,-1.9998754
AK0095-C,KIL33,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.233,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-205.43231,-24.002192,50.98603,3.9235682,5.836582,20.641708,-40.95416,-1.2021549,0.7409225,0.036641266
AK0096-C,KIL56,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.299,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-227.9463,-34.44903,64.34691,16.766438,-6.0256944,70.59998,-33.3593,0.39114028,-1.1723886,-0.20755108
AK0098-C,KIL58,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.335,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-236.7509,-44.25574,61.42191,-42.81338,48.928406,107.65545,-46.19562,1.0987622,-1.4525691,-1.6248226
AK0099-C,KIL59,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.115,0.004,gamb_colu,gambiae,gambiae,-205.51639,-37.864388,50.263466,-56.376144,61.11205,106.13437,6.752083,1.5238427,-3.1887178,1.0841981
AK0101-C,KIL61,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.165,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-191.85408,9.377616,99.74805,203.4969,-163.46133,-24.184858,-5.204118,-2.1356478,0.09863198,-2.273111
AK0102-C,KIL62,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.106,0.004,gamb_colu,gambiae,gambiae,-206.39647,-17.046825,13.097614,50.276546,-61.51209,-119.21178,54.04979,0.2869768,1.5437253,-0.4369557
AK0104-C,KIL64,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.125,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-206.50958,-13.158431,79.97394,54.15675,-31.418102,33.85491,-70.20834,-1.2743356,-1.1507379,-1.1780919
AK0105-C,KIL65,Janet Midega,Kenya,Kilifi,2012,-1,-3.511,39.909,F,AG1000G-KE,v3,0.242,0.003,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-191.05904,2.8637462,96.32912,189.40833,-147.57669,-6.656605,32.95062,-1.9965779,1.5508972,-1.5744207
