sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
VBS00388-4651STDY7017222,GP229,Tovi Lehmann,Mali,Dallowere,2012,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.478,0.716,arabiensis,,arabiensis,-118.50318,-11.708103,58.178944,-10.467377,-27.801798,35.47696,-157.40562,-40.129475,-52.49425,4.1966085
VBS01026-4651STDY7017295,GP867,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.475,0.716,arabiensis,,arabiensis,49.030914,207.57498,-139.47945,-12.559843,5.015166,-88.66423,68.426796,-111.61302,3.0679467,-55.352234
VBS01053-4651STDY7017308,GP894,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.46,0.722,arabiensis,,arabiensis,-45.63723,-52.193817,-36.50018,-179.53757,-60.470993,-110.534676,-10.547293,220.39795,-9.928778,73.21032
VBS01069-4651STDY7017317,GP910,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.473,0.7240000000000001,arabiensis,,arabiensis,-81.46339,-51.019493,131.31018,70.59554,-62.618168,18.690586,-62.100716,-153.1178,-14.87249,-20.65935
VBS01085-4651STDY7017329,GP926,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.46399999999999997,0.727,arabiensis,,arabiensis,83.10532,40.448784,-147.58888,-49.74303,-103.92457,-166.98337,-195.95164,-25.00037,129.68999,-77.60735
VBS01107-4651STDY7017335,GP948,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.467,0.715,arabiensis,,arabiensis,-16.67384,164.78973,-83.54029,-29.67543,-71.93495,-21.570965,99.11394,-143.99623,-25.682219,-81.117004
VBS01123-4651STDY7017342,GP964,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.474,0.71,arabiensis,,arabiensis,181.8778,-81.105446,129.91498,208.40295,-21.828497,-170.2062,23.767641,-59.739746,-119.37952,43.524437
VBS01125-4651STDY7017344,GP966,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.47200000000000003,0.71,arabiensis,,arabiensis,-89.7697,-0.048588105,-63.975582,61.33444,-66.286995,-12.446139,-2.1267536,-112.3133,-83.63296,39.26705
VBS01129-4651STDY7017346,GP970,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.466,0.7120000000000001,arabiensis,,arabiensis,-9.158911,122.099014,88.328125,-52.075184,-13.911348,92.44058,12.906903,105.61658,-49.721867,-0.31990135
VBS01150-4651STDY7017356,GP991,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.475,0.7190000000000001,arabiensis,,arabiensis,-95.80886,-9.31197,65.41384,-99.32565,-94.18111,-144.16359,-41.02746,55.27014,1.2952086,223.3104
VBS01166-4651STDY7017364,GP1007,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.474,0.715,arabiensis,,arabiensis,-102.79423,-79.06106,-129.58214,-21.537748,28.916698,114.68248,-88.19596,-26.588978,-142.10599,-11.812887
VBS01170-4651STDY7017365,GP1011,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.467,0.726,arabiensis,,arabiensis,-36.32086,-155.15453,-200.14502,-4.3792915,121.66149,23.979656,47.25461,-25.437874,117.717445,-17.971106
VBS01173-4651STDY7017367,GP1014,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.465,0.721,arabiensis,,arabiensis,-43.57728,-57.72675,0.75792557,-183.47299,-8.939302,-11.272466,130.76341,13.197985,-101.229225,-112.434525
VBS01179-4651STDY7017371,GP1020,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.48700000000000004,0.6970000000000001,arabiensis,,arabiensis,-65.34164,-3.4650934,-16.772453,-68.94226,8.062619,92.33016,-17.506285,-48.034245,-199.16605,-98.3451
VBS01180-4651STDY7017374,GP1021,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.465,0.73,arabiensis,,arabiensis,76.75115,122.94305,78.054,-48.33901,165.79355,94.20865,3.0557969,24.005571,100.83761,45.03823
VBS01189-4651STDY7017379,GP1030,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.467,0.731,arabiensis,,arabiensis,-46.703808,19.0009,-31.628239,46.3472,338.33316,-93.93179,-59.08896,78.478966,-88.69058,60.197212
VBS01201-4651STDY7017386,GP1042,Tovi Lehmann,Mali,Dallowere,2014,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.462,0.732,arabiensis,,arabiensis,-26.416252,171.96907,56.46021,41.4095,50.527992,25.808619,99.59148,58.935223,101.85128,-18.568691
VBS01320-4651STDY7017464,GP1161,Tovi Lehmann,Mali,Dallowere,2015,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.479,0.713,arabiensis,,arabiensis,99.3261,-96.59887,-164.98935,91.710236,-91.58125,72.88171,130.3006,10.632775,-39.40975,223.45367
VBS01401-4651STDY7017509,GP1242,Tovi Lehmann,Mali,Dallowere,2015,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.47100000000000003,0.72,arabiensis,,arabiensis,249.16019,-19.166504,-10.59552,-60.64861,-38.38763,26.102425,-205.59085,25.024424,43.05576,-84.02357
VBS01466-4651STDY7017548,GP1307,Tovi Lehmann,Mali,Dallowere,2015,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.46799999999999997,0.728,arabiensis,,arabiensis,-17.998373,-47.436634,73.06298,43.58078,-30.622416,-150.88237,139.72726,39.062702,-19.687145,-65.17408
VBS01518-4651STDY7017570,GP1359,Tovi Lehmann,Mali,Dallowere,2015,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.469,0.728,arabiensis,,arabiensis,255.81808,-83.32455,40.20338,-95.62795,18.060688,70.751526,55.205177,50.31154,-95.86007,-25.528532
VBS01536-4651STDY7017585,GP1377,Tovi Lehmann,Mali,Dallowere,2015,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.483,0.691,arabiensis,,arabiensis,-53.150105,117.16759,-63.63596,67.70939,18.767786,-69.25311,26.296965,16.763151,54.530468,101.63802
