sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
VBS00256-4651STDY7017184,GP97,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,18.001564,-8.687874,-2.4151185,6.1450825,-2.6508455,-4.31381,5.1916804,-1.6072526,1.0725821,-5.079476
VBS00257-4651STDY7017185,GP98,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.983,0.002,gamb_colu,coluzzii,coluzzii,19.692274,-10.438691,2.555431,1.6287643,3.6611133,1.0174354,4.2231107,-0.44374335,-5.770774,-1.2946787
VBS00259-4651STDY7017186,GP100,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,19.394266,-11.005531,2.9117835,0.353388,-0.98483306,1.0414188,1.8124384,-0.10911298,1.2697232,-0.40708658
VBS00262-4651STDY7017187,GP103,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.977,0.002,gamb_colu,coluzzii,coluzzii,20.027233,-12.960921,-5.183053,0.16378325,-2.5498867,2.7449033,2.4566042,0.8495067,1.3207546,-2.52229
VBS00277-4651STDY7017189,GP118,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.986,0.002,gamb_colu,coluzzii,coluzzii,19.451033,-10.701435,-1.3996896,-2.7382362,-4.11588,6.058293,-0.7186878,0.77663654,3.3211157,0.6165216
VBS00288-4651STDY7017191,GP129,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,20.146666,-9.791303,1.1709855,-1.0491154,-1.1503502,0.5045572,1.148891,-1.1297246,-0.7506116,1.7831943
VBS00289-4651STDY7017192,GP130,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.981,0.002,gamb_colu,coluzzii,coluzzii,17.790808,-11.011253,0.10560139,1.6570027,-4.4814034,-3.8113837,-4.9213595,-0.76977545,-3.2909827,1.3457073
VBS00293-4651STDY7017193,GP134,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9840000000000001,0.002,gamb_colu,coluzzii,coluzzii,19.526352,-11.898339,-1.8004583,-0.9043355,0.32969067,2.6999505,-0.54286176,-1.6543959,6.2232203,1.2815549
VBS00309-4651STDY7017194,GP150,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,18.340487,-10.461185,-0.58754295,1.8755462,0.02645703,2.474692,-6.9951015,1.6209704,0.047745302,-2.2906969
VBS00331-4651STDY7017196,GP172,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,18.830032,-12.769052,-1.5578299,0.39642668,1.690789,-0.76142377,2.2673893,-2.4132767,-2.0474308,-5.3135324
VBS00343-4651STDY7017197,GP184,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.066,0.002,gamb_colu,gambiae,gambiae,-13.585754,160.60919,-43.242706,-4.6395526,-111.33279,-79.17765,87.70764,0.33635053,-53.33079,5.537465
VBS00344-4651STDY7017198,GP185,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.983,0.002,gamb_colu,coluzzii,coluzzii,18.380825,-8.621552,2.3558166,3.230351,-4.1867237,1.2504977,3.3728776,-0.8233453,5.8471804,1.1753492
VBS00345-4651STDY7017199,GP186,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.039,0.002,gamb_colu,gambiae,gambiae,-13.86184,177.5069,-44.74475,-11.040821,-63.885372,-134.81148,143.39386,-3.6050742,-198.79214,0.4860355
VBS00350-4651STDY7017200,GP191,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.024,0.002,gamb_colu,gambiae,gambiae,-10.53085,139.68489,-29.766768,-0.74209493,-21.275503,-50.51678,-0.6614923,27.616276,226.83237,49.784595
VBS00351-4651STDY7017201,GP192,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.965,0.002,gamb_colu,coluzzii,coluzzii,17.31906,-7.684597,3.4066439,0.3763592,-1.7316775,0.2302363,6.963976,2.5186028,-5.6075687,2.4729362
VBS00352-4651STDY7017202,GP193,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.037000000000000005,0.002,gamb_colu,gambiae,gambiae,-11.6026535,164.8946,-248.22252,17.826458,115.6693,100.36157,-24.7962,3.102518,-0.88726044,-17.52114
VBS00353-4651STDY7017203,GP194,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.019,0.002,gamb_colu,gambiae,gambiae,-13.256174,158.90208,34.995213,-7.973241,37.150154,-58.554386,10.550785,-4.1531277,0.28752264,-20.109169
