sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AZ0292-C,MA7-36,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.9840000000000001,0.002,gamb_colu,coluzzii,coluzzii,-8.290866,14.972956,-14.580851,3.9359467,-8.593041,27.747343,-13.601562,12.202831,23.142567,-9.400602
AZ0293-C,MA7-37,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.982,0.002,gamb_colu,coluzzii,coluzzii,-5.708408,5.423106,4.982504,28.19844,9.127803,-9.433398,13.722349,-23.102465,-0.07225821,7.8186255
AZ0294-C,MA7-4,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.982,0.002,gamb_colu,coluzzii,coluzzii,-6.9092035,-1.4164429,-17.749556,4.1321726,-26.60911,7.7855506,11.518539,-17.937614,-22.993462,11.602531
AZ0295-C,MA7-41,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.98,0.002,gamb_colu,coluzzii,coluzzii,4.2932444,-1.8226082,-13.306704,6.5272007,-16.821693,-0.6941217,-6.2075906,-24.34359,-11.345826,-3.9077911
AZ0296-C,MA7-44,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.9890000000000001,0.002,gamb_colu,coluzzii,coluzzii,-0.5985981,-0.112096,0.43867153,8.12715,-10.468054,9.467345,12.50614,6.0625286,9.726474,-19.167917
AZ0297-C,MA7-7,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.983,0.002,gamb_colu,coluzzii,coluzzii,-1.4372408,-39.639637,141.74132,10.974881,-11.8067045,23.070383,-35.066425,7.152538,-5.905,-10.536733
AZ0298-C,MA7-8,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.983,0.002,gamb_colu,coluzzii,coluzzii,-0.29677403,-12.420763,-6.330093,9.592635,14.912391,-18.01169,1.4820101,-8.765298,28.963125,9.083459
AZ0332-C,MA12-12,Austin Burt,Mali,Ouassorola,2014,8,12.9,-8.16,F,AG1000G-ML-A,v3,0.965,0.002,gamb_colu,coluzzii,coluzzii,0.9994416,5.6671615,-8.2928295,6.0175447,-8.488855,-4.65889,-3.1765072,23.194424,3.567371,-11.64031
AZ0333-C,MA12-8,Austin Burt,Mali,Ouassorola,2014,8,12.9,-8.16,F,AG1000G-ML-A,v3,0.968,0.002,gamb_colu,coluzzii,coluzzii,-14.430031,-4.2689843,42.38388,51.531357,22.037449,3.4327471,-18.313578,-69.72165,82.40894,50.44835
AZ0284-C,MA7-1,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.968,0.002,gamb_colu,coluzzii,coluzzii,-4.6892033,-6.274043,0.8191563,16.298923,-1.7881924,7.1018815,-9.807955,-2.1395683,3.9922621,-6.6857133
AZ0287-C,MA7-17,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.987,0.002,gamb_colu,coluzzii,coluzzii,-6.0429125,-6.1447773,-5.0951447,-17.653887,-11.904375,12.269457,-13.622117,4.412328,-11.7590885,-19.284664
AZ0289-C,MA7-27,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.976,0.002,gamb_colu,coluzzii,coluzzii,-0.46942326,-7.4471655,-9.081028,10.282014,-4.091392,-2.7280078,26.061504,-22.594692,22.885199,-5.8023925
AZ0290-C,MA7-28,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.975,0.002,gamb_colu,coluzzii,coluzzii,-1.4302452,6.345016,-10.048045,11.51409,9.619056,-24.878685,-2.6764238,19.400343,2.057435,9.44336
AZ0291-C,MA7-30,Austin Burt,Mali,Kababougou,2014,8,12.89,-8.15,F,AG1000G-ML-A,v3,0.98,0.002,gamb_colu,coluzzii,coluzzii,-0.16804102,4.6979723,1.9280034,6.7088704,-3.1778631,0.78193593,-10.026902,0.9659808,-0.021348339,-2.8745677
AZ0334-C,MA13-1,Austin Burt,Mali,Ouassorola,2014,8,12.9,-8.16,F,AG1000G-ML-A,v3,0.978,0.002,gamb_colu,coluzzii,coluzzii,-5.4658747,4.1515713,-0.7535121,12.363763,-20.492195,2.36775,15.14639,-36.36468,-7.055109,21.396782
AZ0339-C,MA13-29,Austin Burt,Mali,Ouassorola,2014,8,12.9,-8.16,F,AG1000G-ML-A,v3,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,0.23334302,-2.4316354,-9.266635,16.413126,24.3189,-0.5544446,1.9963653,-21.254206,-10.226737,-24.41794
AZ0340-C,MA13-33,Austin Burt,Mali,Ouassorola,2014,8,12.9,-8.16,F,AG1000G-ML-A,v3,0.972,0.002,gamb_colu,coluzzii,coluzzii,-0.6892282,0.5706195,1.3567909,7.8894076,19.63217,0.53143084,-1.8525925,13.72859,-3.1915102,9.847074
