sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AB0333-C,BF18-11,Austin Burt,Burkina Faso,Bana,2014,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-B,v3,0.47200000000000003,0.731,arabiensis,,arabiensis,-7.176023,342.58237,193.9145,-75.34605,9.846593,-6.8471246,147.08,-23.286257,20.70345,331.79358
AB0457-C,BF17-34,Austin Burt,Burkina Faso,Pala,2014,7,11.15,-4.235,M,AG1000G-BF-B,v3,0.452,0.7120000000000001,arabiensis,,arabiensis,-7.7069454,436.94388,322.2157,-150.5159,15.333439,-1.480374,-72.444336,18.628393,27.25815,-101.02332
AB0502-C,BF17-15,Austin Burt,Burkina Faso,Pala,2014,7,11.15,-4.235,M,AG1000G-BF-B,v3,0.441,0.693,arabiensis,,arabiensis,-10.876096,347.6626,217.90625,-98.71173,-15.805121,1.5603601,-82.643105,3.5114408,-67.14225,-189.78922
AN0341-C,621,Brad White,Cameroon,Lagdo,2013,10,9.049,13.655999999999999,F,AG1000G-CM-C,v3,0.478,0.6509999999999999,arabiensis,,arabiensis,-3.2986715,86.81386,-82.98499,77.537766,-3.1603074,-0.4764005,7.299907,-14.280606,-61.467155,-58.819244
AN0338-C,557,Brad White,Cameroon,Lagdo,2013,10,9.049,13.655999999999999,F,AG1000G-CM-C,v3,0.493,0.618,arabiensis,,arabiensis,-2.0015504,86.57686,-82.859116,70.80487,2.3207119,-13.245172,-4.174255,0.491662,-44.695427,-5.6101866
AC0007-C,1_A2,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.45799999999999996,0.741,arabiensis,,arabiensis,18.359299,1.590574,-35.682674,-58.98869,12.734492,-13.879218,-17.201813,-15.948453,-14.789988,4.66506
AC0008-C,1_A6,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.456,0.74,arabiensis,,arabiensis,14.171727,-4.319303,-22.4385,-44.955338,-13.612061,0.89233977,5.317525,-19.859203,-6.297316,1.3737584
AC0009-Cx,1_A7,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.45799999999999996,0.746,arabiensis,,arabiensis,15.69196,-4.326699,-29.394474,-48.74611,9.683403,2.7939196,16.918528,0.54686993,7.4266405,17.303246
AC0010-C,1_A9,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.452,0.743,arabiensis,,arabiensis,17.198288,0.77513933,-27.624401,-46.697678,-8.044687,-11.405079,-28.822872,1.8061768,3.9045794,-0.548459
AC0011-C,1_B5,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.455,0.745,arabiensis,,arabiensis,21.906483,3.0593548,-43.110558,-72.79747,14.166276,2.2081687,-0.89442194,-7.780103,23.556057,4.184022
AC0012-Cx,1_B6,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.456,0.745,arabiensis,,arabiensis,20.422848,-8.256636,-21.57919,-44.293358,14.646164,10.757202,10.126175,-37.433758,3.4912956,-7.8810096
AC0013-Cx,1_B7,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.45799999999999996,0.742,arabiensis,,arabiensis,17.762808,18.360218,-33.385677,-21.166878,-1.820298,5.9350176,26.814928,-8.425764,74.92869,30.365303
AC0014-C,1_B9,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.452,0.742,arabiensis,,arabiensis,19.075356,-2.8951054,-27.46059,-41.006985,20.922476,15.914527,13.009199,6.390644,7.64182,-1.196797
AC0015-C,1_B10,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.456,0.741,arabiensis,,arabiensis,17.605364,18.807209,-64.34827,-53.458508,17.138012,17.157413,-36.620483,9.507391,-13.987996,-11.333153
AC0016-C,1_C2,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.461,0.733,arabiensis,,arabiensis,20.500784,0.5619939,-40.00128,-58.55135,22.345472,12.575082,1.679283,15.210027,-1.2357575,-1.9396551
AC0017-C,1_C5,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.46,0.745,arabiensis,,arabiensis,14.959275,-2.2912638,-28.240189,-34.449055,-5.4704266,9.71726,-11.064191,-8.927661,-6.9629917,2.518
AC0018-Cx,1_C6,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.45899999999999996,0.747,arabiensis,,arabiensis,18.2566,-2.426409,-28.782598,-44.44037,14.52955,9.538512,6.7775183,-12.106284,3.117534,3.0494943
AC0019-C,1_C8,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.456,0.745,arabiensis,,arabiensis,18.913713,-0.47695932,-35.69918,-49.132618,-0.3789265,1.8668733,6.267924,-6.0514746,3.253136,-0.8416049
AC0021-C,1_C10,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.456,0.747,arabiensis,,arabiensis,20.521349,-3.0121453,-25.383638,-47.872932,7.3359528,4.9064445,8.054688,21.969666,2.7778785,-1.4131192
AC0022-C,1_D1,Martin Donnelly,Uganda,Nagongera,2012,10,0.77,34.025999999999996,F,AG1000G-UG,v3,0.45399999999999996,0.74,arabiensis,,arabiensis,16.811146,11.460498,-41.767715,-43.686665,1.4369425,8.137826,-8.031803,6.7723374,-8.987011,9.828204
