sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
VBS00256-4651STDY7017184,GP97,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,-10.57917,23.193262,-15.060352,30.50661,-19.656355,41.502842,-52.838802,-40.383648,14.764192,-108.73779
VBS00257-4651STDY7017185,GP98,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.983,0.002,gamb_colu,coluzzii,coluzzii,-1.2788539,-10.765366,4.1551523,0.7216976,6.007215,-3.9344184,-19.843037,4.9166293,5.0183973,25.653648
VBS00259-4651STDY7017186,GP100,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-9.2835245,-1.3589507,-0.20818399,-5.588317,13.8187685,-11.198516,4.2775965,0.4888558,20.56061,12.222245
VBS00262-4651STDY7017187,GP103,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.977,0.002,gamb_colu,coluzzii,coluzzii,-2.7127266,3.3189156,9.479247,19.037134,-20.141409,12.822559,7.488565,-7.641432,9.232456,-9.5743
VBS00277-4651STDY7017189,GP118,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.986,0.002,gamb_colu,coluzzii,coluzzii,7.053677,-9.885194,7.688316,-9.254372,-0.1650093,1.3203067,28.03891,-2.7721004,-12.541697,0.46132517
VBS00288-4651STDY7017191,GP129,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,4.2870812,-19.276976,1.3919065,-9.172858,-2.309832,-14.2741,-4.4251175,-12.463914,20.745005,-14.538418
VBS00289-4651STDY7017192,GP130,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.981,0.002,gamb_colu,coluzzii,coluzzii,-0.9062479,-6.435229,-6.7678704,-11.566442,-1.3571819,7.3645835,-8.06775,16.993454,9.100593,-26.242748
VBS00293-4651STDY7017193,GP134,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9840000000000001,0.002,gamb_colu,coluzzii,coluzzii,14.099218,-7.667408,-12.21456,-13.079948,-11.395399,16.364557,-19.40553,3.5355992,-3.3743787,-24.443867
VBS00309-4651STDY7017194,GP150,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-7.2400513,18.89472,-21.583115,-14.107371,-13.153412,6.741672,-1.6828749,-25.497349,3.7365038,22.095295
VBS00331-4651STDY7017196,GP172,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,3.231128,-1.8290684,-7.0953298,-1.9345126,-11.144103,0.77231646,12.259913,22.961674,1.1078835,-7.92938
