sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
VBS00256-4651STDY7017184,GP97,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,-23.665333,10.787186,-0.1448502,0.27778727,-2.8431206,2.6600804,2.2182558,-1.5767554,0.4783231,-1.648039
VBS00257-4651STDY7017185,GP98,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.983,0.002,gamb_colu,coluzzii,coluzzii,-23.972176,12.513972,-2.068165,-3.251908,2.8019602,-0.46155733,2.3544166,-0.58646244,1.6903889,1.9205555
VBS00259-4651STDY7017186,GP100,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-25.188463,14.096394,-0.47309455,0.48570645,0.13998027,-1.1739064,-2.8208137,-0.49638426,-2.1375418,-0.7150879
VBS00262-4651STDY7017187,GP103,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.977,0.002,gamb_colu,coluzzii,coluzzii,-24.73501,11.451135,-0.1283588,1.6984924,0.82075423,2.2323475,1.4692347,-3.9741547,-0.7914389,1.3327837
VBS00277-4651STDY7017189,GP118,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.986,0.002,gamb_colu,coluzzii,coluzzii,-24.145807,10.247362,-0.9773334,-0.9159999,0.88911253,-3.3655655,-1.9256388,-0.4688643,-1.5431004,0.72782296
VBS00288-4651STDY7017191,GP129,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,-24.253414,12.313237,0.29461738,1.2064294,0.9421919,-1.0533322,1.5516857,-0.39138278,1.8784933,-0.35147956
VBS00289-4651STDY7017192,GP130,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.981,0.002,gamb_colu,coluzzii,coluzzii,-22.945091,12.804253,0.5919851,-0.7435587,-2.42391,1.4820579,-3.1120384,-2.2329025,0.1659393,0.21720502
VBS00293-4651STDY7017193,GP134,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9840000000000001,0.002,gamb_colu,coluzzii,coluzzii,-23.067692,14.533423,-0.305063,0.9181839,-0.1319027,-0.42853475,-1.156328,0.6278195,-1.206178,0.0047201836
VBS00309-4651STDY7017194,GP150,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-23.866083,10.322016,0.35553348,-0.06820704,-0.11867416,-1.546129,-0.15809277,-0.7702442,-1.7793074,1.0526052
VBS00331-4651STDY7017196,GP172,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,-23.879715,11.942211,-0.7996771,-0.20553932,-0.33776692,-1.1871147,0.37726277,-0.24857788,1.03696,-2.8451715
