sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
VBS00343-4651STDY7017197,GP184,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.066,0.002,gamb_colu,gambiae,gambiae,-9.302012,53.47715,62.085552,-40.188946,17.196056,-11.506083,148.3575,-73.892845,73.62539,24.131021
VBS00345-4651STDY7017199,GP186,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.039,0.002,gamb_colu,gambiae,gambiae,-13.456424,7.0671706,-53.95503,-88.31452,5.3719163,-100.73232,-2.1408796,-84.87327,-0.09750036,28.96996
VBS00350-4651STDY7017200,GP191,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.024,0.002,gamb_colu,gambiae,gambiae,66.20969,66.668396,-56.236626,-21.404858,126.88284,-10.832022,-2.3022768,-1.575409,-165.84358,-119.28345
VBS00352-4651STDY7017202,GP193,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.037000000000000005,0.002,gamb_colu,gambiae,gambiae,-34.057434,164.61949,-70.961555,54.116264,-144.21864,58.56626,-28.261494,16.587185,-56.39555,-57.287964
VBS00353-4651STDY7017203,GP194,Tovi Lehmann,Mali,Dallowere,2012,9,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.019,0.002,gamb_colu,gambiae,gambiae,-25.748442,-13.924798,-19.369158,44.95013,-11.258652,-95.73594,3.781756,95.22829,17.0455,-42.39999
VBS01052-4651STDY7017307,GP893,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.025,0.003,gamb_colu,gambiae,gambiae,-28.352491,-170.44795,-55.507343,211.85045,-15.237992,31.07432,42.931934,4.7697616,50.87336,-69.55088
VBS01054-4651STDY7017309,GP895,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.02,0.003,gamb_colu,gambiae,gambiae,73.108696,-49.24083,75.140236,4.293237,-37.377705,-7.432846,-62.737503,-162.20604,69.19368,-73.48294
VBS01056-4651STDY7017311,GP897,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.025,0.002,gamb_colu,gambiae,gambiae,-90.913055,-144.28308,-107.565636,-104.48143,-171.12245,14.067366,-13.560345,-47.29045,-10.838596,31.487854
VBS01061-4651STDY7017314,GP902,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.043,0.003,gamb_colu,gambiae,gambiae,151.60725,-44.591785,-7.80914,42.62359,-55.65962,19.75627,-86.61053,-6.5644336,65.53993,-18.612791
VBS01070-4651STDY7017318,GP911,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.033,0.002,gamb_colu,gambiae,gambiae,-61.96363,-79.48538,-69.02431,-140.6389,-77.427155,97.95799,-52.8986,-2.230487,-77.92491,61.463993
VBS01073-4651STDY7017321,GP914,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.075,0.002,gamb_colu,gambiae,gambiae,91.20998,8.949922,20.298384,-11.248512,57.8454,84.29208,-70.38507,-43.111576,40.672924,114.05081
VBS01086-4651STDY7017330,GP927,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.040999999999999995,0.003,gamb_colu,gambiae,gambiae,-33.60149,49.883293,-32.201607,15.015249,24.761095,-24.68046,-3.7671938,-39.32875,-60.46583,25.513754
VBS01111-4651STDY7017338,GP952,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.033,0.002,gamb_colu,gambiae,gambiae,-43.219193,182.60194,-65.72989,104.28712,-144.2963,-0.2595273,-33.524395,20.55566,3.0985713,-20.136461
VBS01112-4651STDY7017339,GP953,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.039,0.003,gamb_colu,gambiae,gambiae,79.083626,8.714033,-50.21618,13.938945,46.540367,-24.145054,53.30542,-9.63638,12.424962,-1.3643147
VBS01139-4651STDY7017350,GP980,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.028999999999999998,0.003,gamb_colu,gambiae,gambiae,-86.24462,48.325226,128.42018,92.27302,24.75069,-67.14831,-15.432564,-43.17552,-62.069183,37.60678
VBS01141-4651STDY7017352,GP982,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.083,0.002,gamb_colu,gambiae,gambiae,-16.928873,22.678164,-24.719418,-53.004356,22.464027,18.259098,-25.560476,-14.339523,2.3527257,-66.086494
VBS01163-4651STDY7017361,GP1004,Tovi Lehmann,Mali,Dallowere,2014,10,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.028999999999999998,0.003,gamb_colu,gambiae,gambiae,-31.41524,1.539762,89.33917,-67.92802,-17.134016,108.56052,33.48022,92.87189,-37.153038,-22.46402
