sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
VBS00256-4651STDY7017184,GP97,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,-21.934273,34.43531,12.406544,-44.629208,30.601067,-35.291935,-18.009357,1.9435912,-16.035078,23.02194
VBS00257-4651STDY7017185,GP98,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.983,0.002,gamb_colu,coluzzii,coluzzii,16.055584,-12.551145,3.6900413,-8.106423,-5.0588136,-10.184851,6.920664,-2.1114278,-41.320217,-1.0328392
VBS00259-4651STDY7017186,GP100,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,8.346202,-12.478715,-7.4642897,5.382684,0.22596212,-4.463415,1.8668138,-6.744902,-7.9767413,-12.6189575
VBS00262-4651STDY7017187,GP103,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.977,0.002,gamb_colu,coluzzii,coluzzii,-0.97681624,0.3487586,-2.5231245,7.5707006,4.804579,-9.993645,-28.475315,15.856031,25.38183,23.989113
VBS00277-4651STDY7017189,GP118,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.986,0.002,gamb_colu,coluzzii,coluzzii,10.711288,-24.312433,-2.8093638,-15.690051,-10.516623,10.831279,-21.882502,8.590089,34.655025,-32.48837
VBS00288-4651STDY7017191,GP129,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.975,0.002,gamb_colu,coluzzii,coluzzii,15.940792,-14.836393,9.048599,-19.607977,0.9968895,-12.2273655,21.985075,4.174578,14.352961,-16.365889
VBS00289-4651STDY7017192,GP130,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.981,0.002,gamb_colu,coluzzii,coluzzii,5.56695,12.286585,7.97368,-2.5736275,-3.0359612,-4.0778804,-9.794591,3.25637,-12.130807,-1.2432702
VBS00293-4651STDY7017193,GP134,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9840000000000001,0.002,gamb_colu,coluzzii,coluzzii,-0.67313987,-11.565834,-4.24743,11.072869,10.412934,2.1452496,9.030326,-17.363352,7.041823,18.045732
VBS00309-4651STDY7017194,GP150,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-25.818487,16.840475,-77.92716,-51.425076,39.358536,-28.804852,6.216016,11.876864,-23.333977,-37.50741
VBS00331-4651STDY7017196,GP172,Tovi Lehmann,Mali,Dallowere,2012,6,13.616,-7.037000000000001,F,1177-VO-ML-LEHMANN-MNF00004,v3.1,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,5.728685,-10.405225,-7.066689,-0.51509315,8.333194,7.4646387,3.8166232,-3.682014,-3.9972007,19.330378
