sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AB0087-C,BF3-3,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.982,0.002,gamb_colu,coluzzii,coluzzii,-4.568757,-15.374286,22.600863,-25.25027,26.00871,-18.6531,1.7591729,-23.503513,17.686956,-8.3665905
AB0088-C,BF3-5,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.99,0.002,gamb_colu,coluzzii,coluzzii,1.4951981,7.6850753,-1.787787,5.398034,-7.829685,-5.227813,5.267534,5.4274373,4.682242,6.1517987
AB0089-Cx,BF3-8,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.975,0.002,gamb_colu,coluzzii,coluzzii,21.505539,-11.521612,-3.2405257,-7.6158814,53.369003,139.12865,-50.06659,-3.5193644,-101.420715,-59.95915
AB0090-C,BF3-10,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.977,0.002,gamb_colu,coluzzii,coluzzii,-11.3463955,-4.471518,15.672844,23.138243,39.069874,-28.583961,-17.403381,24.025194,-26.41574,13.540469
AB0091-C,BF3-12,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-2.4922788,10.601922,-5.6959686,-3.2463226,10.9905815,6.0950723,-1.7151524,19.38392,4.007566,14.945642
AB0092-C,BF3-13,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.978,0.002,gamb_colu,coluzzii,coluzzii,5.6123457,-4.3785563,3.2507565,-0.3377488,7.2947817,3.354269,-3.8887548,-2.3319254,3.3627474,0.19454731
AB0094-Cx,BF3-17,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.986,0.002,gamb_colu,coluzzii,coluzzii,4.0507884,0.19750425,-6.329972,-4.3708453,14.839035,-7.6645317,-7.7822104,-5.261799,-20.757435,21.338587
AB0095-Cx,BF4-1,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.977,0.002,gamb_colu,coluzzii,coluzzii,4.0759716,11.814038,1.3673354,-14.61769,7.1386137,22.737335,-8.305299,-4.86193,-5.3548083,13.345423
AB0097-Cx,BF4-5,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.961,0.002,gamb_colu,coluzzii,coluzzii,3.2114763,-0.4898507,-2.0608134,2.5586345,-11.700656,-3.6001039,-6.115599,-0.32857287,-10.667529,5.50886
AB0098-Cx,BF4-6,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.971,0.002,gamb_colu,coluzzii,coluzzii,-2.3813517,0.16591409,-7.3083572,6.718847,9.896822,-0.8145071,5.573624,-21.377913,8.952161,-9.264076
AB0099-Cx,BF6-1,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.988,0.002,gamb_colu,coluzzii,coluzzii,1.5460473,5.1704435,-17.183533,10.997163,25.148148,9.648096,20.52273,0.6990356,5.382196,14.28286
AB0100-C,BF6-2,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.975,0.002,gamb_colu,coluzzii,coluzzii,-12.638398,-5.070704,-0.06563942,49.599716,8.490548,13.710885,2.733766,-4.256197,4.8585877,2.470306
AB0101-C,BF6-3,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9840000000000001,0.002,gamb_colu,coluzzii,coluzzii,-3.8073697,1.2576363,-3.9518678,3.6256,-2.4970195,1.7871941,-8.992167,-1.4709189,-3.992086,-9.89842
AB0109-C,BF9-1,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-0.6741917,15.437231,-10.049314,0.15255411,-5.1931973,-2.6802256,-8.386016,-12.200694,9.349424,8.644668
AB0110-C,BF9-2,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-5.8365264,-13.994351,19.52503,3.0549295,-26.262478,-13.8491125,-14.689248,-23.125809,-5.8258915,-6.519014
AB0111-C,BF9-3,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.983,0.002,gamb_colu,coluzzii,coluzzii,-0.09710546,9.518611,-8.322919,6.860943,-9.93111,-1.403596,9.608945,-0.27005392,-0.84300965,1.8868902
AB0112-C,BF3-18,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.978,0.002,gamb_colu,coluzzii,coluzzii,0.5326455,16.822954,-0.70662606,4.396734,-19.751965,18.72289,9.716522,15.980287,-4.2515225,5.8464217
AB0113-C,BF3-19,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,1.8521047,-9.062686,6.145508,-0.29042152,5.244855,16.355852,0.8362313,3.4292047,-16.161848,-17.19968
AB0114-C,BF4-7,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.983,0.002,gamb_colu,coluzzii,coluzzii,1.361363,10.268594,-3.4822803,9.921216,-13.339582,18.629442,21.66868,27.536623,-26.897198,-19.541224
AB0115-C,BF4-8,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,1.8756298,-5.461276,19.399687,-4.908548,29.881037,-1.6237503,0.71067446,6.614819,6.920657,0.24955015
AB0121-C,BF3-25,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.912,0.003,gamb_colu,coluzzii,coluzzii,-8.297598,11.71491,2.0853245,57.0893,22.309195,12.467908,-1.036595,-6.2694244,6.8398533,6.8506975
AB0122-C,BF3-26,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,0.20312804,4.493633,-19.635967,4.7459903,-18.14499,-4.217433,-1.3907503,-10.149431,8.652619,-6.3819227
AB0123-C,BF3-27,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.9670000000000001,0.002,gamb_colu,coluzzii,coluzzii,14.511709,13.673402,-12.44429,-14.39425,2.5108984,7.7380385,11.83756,0.1184975,-22.034582,7.2333884
AB0124-C,BF3-28,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.973,0.002,gamb_colu,coluzzii,coluzzii,-0.27413607,7.6425996,-5.7840805,4.8777013,-17.536013,18.309767,16.730917,25.397655,-7.2589765,-19.924805
AB0132-C,BF2-13,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.98,0.002,gamb_colu,coluzzii,coluzzii,-3.2800405,-0.24335547,-17.20552,15.135044,16.808237,10.592668,0.40170544,9.290626,-12.9265375,16.690014
AB0137-Cx,BF2-18,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.982,0.002,gamb_colu,coluzzii,coluzzii,5.1749372,7.837518,6.025429,6.206499,-16.34613,1.8171586,13.129324,-2.5271192,6.8893957,6.5334115
